Year,Code,Area,Industry,Business Count
2018,E09000032,Wandsworth,"Agriculture, forestry & fishing",25
2018,E09000033,Westminster,"Agriculture, forestry & fishing",105
2017,E09000001,City of London,"Agriculture, forestry & fishing",20
2017,E09000002,Barking and Dagenham,"Agriculture, forestry & fishing",5
2017,E09000003,Barnet,"Agriculture, forestry & fishing",25
2017,E09000004,Bexley,"Agriculture, forestry & fishing",10
2017,E09000005,Brent,"Agriculture, forestry & fishing",5
2017,E09000006,Bromley,"Agriculture, forestry & fishing",65
2017,E09000007,Camden,"Agriculture, forestry & fishing",25
2017,E09000008,Croydon,"Agriculture, forestry & fishing",20
2017,E09000009,Ealing,"Agriculture, forestry & fishing",10
2017,E09000010,Enfield,"Agriculture, forestry & fishing",30
2017,E09000011,Greenwich,"Agriculture, forestry & fishing",5
2017,E09000012,Hackney,"Agriculture, forestry & fishing",15
2017,E09000013,Hammersmith and Fulham,"Agriculture, forestry & fishing",15
2017,E09000014,Haringey,"Agriculture, forestry & fishing",15
2017,E09000015,Harrow,"Agriculture, forestry & fishing",10
2017,E09000016,Havering,"Agriculture, forestry & fishing",35
2017,E09000017,Hillingdon,"Agriculture, forestry & fishing",35
2017,E09000018,Hounslow,"Agriculture, forestry & fishing",20
2017,E09000019,Islington,"Agriculture, forestry & fishing",15
2017,E09000020,Kensington and Chelsea,"Agriculture, forestry & fishing",40
2017,E09000021,Kingston upon Thames,"Agriculture, forestry & fishing",15
2017,E09000022,Lambeth,"Agriculture, forestry & fishing",10
2017,E09000023,Lewisham,"Agriculture, forestry & fishing",5
2017,E09000024,Merton,"Agriculture, forestry & fishing",15
2017,E09000025,Newham,"Agriculture, forestry & fishing",5
2017,E09000026,Redbridge,"Agriculture, forestry & fishing",15
2017,E09000027,Richmond upon Thames,"Agriculture, forestry & fishing",20
2017,E09000028,Southwark,"Agriculture, forestry & fishing",20
2017,E09000029,Sutton,"Agriculture, forestry & fishing",35
2017,E09000030,Tower Hamlets,"Agriculture, forestry & fishing",15
2017,E09000031,Waltham Forest,"Agriculture, forestry & fishing",15
2017,E09000032,Wandsworth,"Agriculture, forestry & fishing",25
2017,E09000033,Westminster,"Agriculture, forestry & fishing",105
2016,E09000001,City of London,"Agriculture, forestry & fishing",15
2016,E09000002,Barking and Dagenham,"Agriculture, forestry & fishing",5
2016,E09000003,Barnet,"Agriculture, forestry & fishing",30
2016,E09000004,Bexley,"Agriculture, forestry & fishing",10
2016,E09000005,Brent,"Agriculture, forestry & fishing",5
2016,E09000006,Bromley,"Agriculture, forestry & fishing",60
2016,E09000007,Camden,"Agriculture, forestry & fishing",30
2016,E09000008,Croydon,"Agriculture, forestry & fishing",15
2016,E09000009,Ealing,"Agriculture, forestry & fishing",10
2016,E09000010,Enfield,"Agriculture, forestry & fishing",25
2016,E09000011,Greenwich,"Agriculture, forestry & fishing",5
2016,E09000012,Hackney,"Agriculture, forestry & fishing",5
2016,E09000013,Hammersmith and Fulham,"Agriculture, forestry & fishing",15
2016,E09000014,Haringey,"Agriculture, forestry & fishing",15
2016,E09000015,Harrow,"Agriculture, forestry & fishing",15
2016,E09000016,Havering,"Agriculture, forestry & fishing",30
2016,E09000017,Hillingdon,"Agriculture, forestry & fishing",35
2016,E09000018,Hounslow,"Agriculture, forestry & fishing",20
2016,E09000019,Islington,"Agriculture, forestry & fishing",20
2016,E09000020,Kensington and Chelsea,"Agriculture, forestry & fishing",35
2016,E09000021,Kingston upon Thames,"Agriculture, forestry & fishing",10
2016,E09000022,Lambeth,"Agriculture, forestry & fishing",10
2016,E09000023,Lewisham,"Agriculture, forestry & fishing",5
2016,E09000024,Merton,"Agriculture, forestry & fishing",15
2016,E09000025,Newham,"Agriculture, forestry & fishing",5
2016,E09000026,Redbridge,"Agriculture, forestry & fishing",15
2016,E09000027,Richmond upon Thames,"Agriculture, forestry & fishing",15
2016,E09000028,Southwark,"Agriculture, forestry & fishing",20
2016,E09000029,Sutton,"Agriculture, forestry & fishing",35
2016,E09000030,Tower Hamlets,"Agriculture, forestry & fishing",15
2016,E09000031,Waltham Forest,"Agriculture, forestry & fishing",15
2016,E09000032,Wandsworth,"Agriculture, forestry & fishing",20
2016,E09000033,Westminster,"Agriculture, forestry & fishing",90
2015,E09000001,City of London,"Agriculture, forestry & fishing",20
2015,E09000002,Barking and Dagenham,"Agriculture, forestry & fishing",5
2015,E09000003,Barnet,"Agriculture, forestry & fishing",30
2015,E09000004,Bexley,"Agriculture, forestry & fishing",10
2015,E09000005,Brent,"Agriculture, forestry & fishing",5
2015,E09000006,Bromley,"Agriculture, forestry & fishing",55
2015,E09000007,Camden,"Agriculture, forestry & fishing",30
2015,E09000008,Croydon,"Agriculture, forestry & fishing",15
2015,E09000009,Ealing,"Agriculture, forestry & fishing",10
2015,E09000010,Enfield,"Agriculture, forestry & fishing",30
2015,E09000011,Greenwich,"Agriculture, forestry & fishing",5
2015,E09000012,Hackney,"Agriculture, forestry & fishing",5
2015,E09000013,Hammersmith and Fulham,"Agriculture, forestry & fishing",20
2015,E09000014,Haringey,"Agriculture, forestry & fishing",10
2015,E09000015,Harrow,"Agriculture, forestry & fishing",15
2015,E09000016,Havering,"Agriculture, forestry & fishing",30
2015,E09000017,Hillingdon,"Agriculture, forestry & fishing",35
2015,E09000018,Hounslow,"Agriculture, forestry & fishing",20
2015,E09000019,Islington,"Agriculture, forestry & fishing",20
2015,E09000020,Kensington and Chelsea,"Agriculture, forestry & fishing",40
2015,E09000021,Kingston upon Thames,"Agriculture, forestry & fishing",15
2015,E09000022,Lambeth,"Agriculture, forestry & fishing",15
2015,E09000023,Lewisham,"Agriculture, forestry & fishing",5
2015,E09000024,Merton,"Agriculture, forestry & fishing",15
2015,E09000025,Newham,"Agriculture, forestry & fishing",5
2015,E09000026,Redbridge,"Agriculture, forestry & fishing",10
2015,E09000027,Richmond upon Thames,"Agriculture, forestry & fishing",10
2015,E09000028,Southwark,"Agriculture, forestry & fishing",15
2015,E09000029,Sutton,"Agriculture, forestry & fishing",25
2015,E09000030,Tower Hamlets,"Agriculture, forestry & fishing",10
2015,E09000031,Waltham Forest,"Agriculture, forestry & fishing",10
2015,E09000032,Wandsworth,"Agriculture, forestry & fishing",35
2015,E09000033,Westminster,"Agriculture, forestry & fishing",80
2014,E09000001,City of London,"Agriculture, forestry & fishing",15
2014,E09000002,Barking and Dagenham,"Agriculture, forestry & fishing",5
2014,E09000003,Barnet,"Agriculture, forestry & fishing",30
2014,E09000004,Bexley,"Agriculture, forestry & fishing",5
2014,E09000005,Brent,"Agriculture, forestry & fishing",5
2014,E09000006,Bromley,"Agriculture, forestry & fishing",55
2014,E09000007,Camden,"Agriculture, forestry & fishing",20
2014,E09000008,Croydon,"Agriculture, forestry & fishing",15
2014,E09000009,Ealing,"Agriculture, forestry & fishing",10
2014,E09000010,Enfield,"Agriculture, forestry & fishing",30
2014,E09000011,Greenwich,"Agriculture, forestry & fishing",10
2014,E09000012,Hackney,"Agriculture, forestry & fishing",10
2014,E09000013,Hammersmith and Fulham,"Agriculture, forestry & fishing",15
2014,E09000014,Haringey,"Agriculture, forestry & fishing",10
2014,E09000015,Harrow,"Agriculture, forestry & fishing",10
2014,E09000016,Havering,"Agriculture, forestry & fishing",35
2014,E09000017,Hillingdon,"Agriculture, forestry & fishing",40
2014,E09000018,Hounslow,"Agriculture, forestry & fishing",15
2014,E09000019,Islington,"Agriculture, forestry & fishing",20
2014,E09000020,Kensington and Chelsea,"Agriculture, forestry & fishing",30
2014,E09000021,Kingston upon Thames,"Agriculture, forestry & fishing",10
2014,E09000022,Lambeth,"Agriculture, forestry & fishing",10
2014,E09000023,Lewisham,"Agriculture, forestry & fishing",5
2014,E09000024,Merton,"Agriculture, forestry & fishing",15
2014,E09000025,Newham,"Agriculture, forestry & fishing",5
2014,E09000026,Redbridge,"Agriculture, forestry & fishing",10
2014,E09000027,Richmond upon Thames,"Agriculture, forestry & fishing",15
2014,E09000028,Southwark,"Agriculture, forestry & fishing",20
2014,E09000029,Sutton,"Agriculture, forestry & fishing",30
2014,E09000030,Tower Hamlets,"Agriculture, forestry & fishing",10
2014,E09000031,Waltham Forest,"Agriculture, forestry & fishing",15
2014,E09000032,Wandsworth,"Agriculture, forestry & fishing",25
2014,E09000033,Westminster,"Agriculture, forestry & fishing",80
2013,E09000001,City of London,"Agriculture, forestry & fishing",10
2013,E09000002,Barking and Dagenham,"Agriculture, forestry & fishing",10
2013,E09000003,Barnet,"Agriculture, forestry & fishing",35
2013,E09000004,Bexley,"Agriculture, forestry & fishing",5
2013,E09000005,Brent,"Agriculture, forestry & fishing",0
2013,E09000006,Bromley,"Agriculture, forestry & fishing",60
2013,E09000007,Camden,"Agriculture, forestry & fishing",20
2013,E09000008,Croydon,"Agriculture, forestry & fishing",15
2013,E09000009,Ealing,"Agriculture, forestry & fishing",15
2013,E09000010,Enfield,"Agriculture, forestry & fishing",20
2013,E09000011,Greenwich,"Agriculture, forestry & fishing",5
2013,E09000012,Hackney,"Agriculture, forestry & fishing",10
2013,E09000013,Hammersmith and Fulham,"Agriculture, forestry & fishing",15
2013,E09000014,Haringey,"Agriculture, forestry & fishing",10
2013,E09000015,Harrow,"Agriculture, forestry & fishing",10
2013,E09000016,Havering,"Agriculture, forestry & fishing",30
2013,E09000017,Hillingdon,"Agriculture, forestry & fishing",30
2013,E09000018,Hounslow,"Agriculture, forestry & fishing",20
2013,E09000019,Islington,"Agriculture, forestry & fishing",20
2013,E09000020,Kensington and Chelsea,"Agriculture, forestry & fishing",25
2013,E09000021,Kingston upon Thames,"Agriculture, forestry & fishing",15
2013,E09000022,Lambeth,"Agriculture, forestry & fishing",10
2013,E09000023,Lewisham,"Agriculture, forestry & fishing",5
2013,E09000024,Merton,"Agriculture, forestry & fishing",10
2013,E09000025,Newham,"Agriculture, forestry & fishing",5
2013,E09000026,Redbridge,"Agriculture, forestry & fishing",10
2013,E09000027,Richmond upon Thames,"Agriculture, forestry & fishing",15
2013,E09000028,Southwark,"Agriculture, forestry & fishing",15
2013,E09000029,Sutton,"Agriculture, forestry & fishing",30
2013,E09000030,Tower Hamlets,"Agriculture, forestry & fishing",10
2013,E09000031,Waltham Forest,"Agriculture, forestry & fishing",15
2013,E09000032,Wandsworth,"Agriculture, forestry & fishing",20
2013,E09000033,Westminster,"Agriculture, forestry & fishing",75
2012,E09000001,City of London,"Agriculture, forestry & fishing",10
2012,E09000002,Barking and Dagenham,"Agriculture, forestry & fishing",5
2012,E09000003,Barnet,"Agriculture, forestry & fishing",35
2012,E09000004,Bexley,"Agriculture, forestry & fishing",10
2012,E09000005,Brent,"Agriculture, forestry & fishing",5
2012,E09000006,Bromley,"Agriculture, forestry & fishing",55
2012,E09000007,Camden,"Agriculture, forestry & fishing",20
2012,E09000008,Croydon,"Agriculture, forestry & fishing",15
2012,E09000009,Ealing,"Agriculture, forestry & fishing",15
2012,E09000010,Enfield,"Agriculture, forestry & fishing",20
2012,E09000011,Greenwich,"Agriculture, forestry & fishing",5
2012,E09000012,Hackney,"Agriculture, forestry & fishing",5
2012,E09000013,Hammersmith and Fulham,"Agriculture, forestry & fishing",10
2012,E09000014,Haringey,"Agriculture, forestry & fishing",5
2012,E09000015,Harrow,"Agriculture, forestry & fishing",10
2012,E09000016,Havering,"Agriculture, forestry & fishing",30
2012,E09000017,Hillingdon,"Agriculture, forestry & fishing",30
2012,E09000018,Hounslow,"Agriculture, forestry & fishing",15
2012,E09000019,Islington,"Agriculture, forestry & fishing",20
2012,E09000020,Kensington and Chelsea,"Agriculture, forestry & fishing",25
2012,E09000021,Kingston upon Thames,"Agriculture, forestry & fishing",10
2012,E09000022,Lambeth,"Agriculture, forestry & fishing",5
2012,E09000023,Lewisham,"Agriculture, forestry & fishing",5
2012,E09000024,Merton,"Agriculture, forestry & fishing",10
2012,E09000025,Newham,"Agriculture, forestry & fishing",5
2012,E09000026,Redbridge,"Agriculture, forestry & fishing",10
2012,E09000027,Richmond upon Thames,"Agriculture, forestry & fishing",15
2012,E09000028,Southwark,"Agriculture, forestry & fishing",15
2012,E09000029,Sutton,"Agriculture, forestry & fishing",30
2012,E09000030,Tower Hamlets,"Agriculture, forestry & fishing",10
2012,E09000031,Waltham Forest,"Agriculture, forestry & fishing",10
2012,E09000032,Wandsworth,"Agriculture, forestry & fishing",20
2012,E09000033,Westminster,"Agriculture, forestry & fishing",75
2011,E09000001,City of London                ,"Agriculture, forestry & fishing",10
2011,E09000002,Barking and Dagenham       ,"Agriculture, forestry & fishing",5
2011,E09000003,Barnet                        ,"Agriculture, forestry & fishing",30
2011,E09000004,Bexley                        ,"Agriculture, forestry & fishing",10
2011,E09000005,Brent                         ,"Agriculture, forestry & fishing",5
2011,E09000006,Bromley                       ,"Agriculture, forestry & fishing",55
2011,E09000007,Camden                     ,"Agriculture, forestry & fishing",15
2011,E09000008,Croydon                       ,"Agriculture, forestry & fishing",15
2011,E09000009,Ealing                        ,"Agriculture, forestry & fishing",15
2011,E09000010,Enfield                       ,"Agriculture, forestry & fishing",20
2011,E09000011,Greenwich                     ,"Agriculture, forestry & fishing",5
2011,E09000012,Hackney                       ,"Agriculture, forestry & fishing",5
2011,E09000013,Hammersmith and Fulham        ,"Agriculture, forestry & fishing",15
2011,E09000014,Haringey                      ,"Agriculture, forestry & fishing",5
2011,E09000015,Harrow                        ,"Agriculture, forestry & fishing",10
2011,E09000016,Havering                      ,"Agriculture, forestry & fishing",30
2011,E09000017,Hillingdon                    ,"Agriculture, forestry & fishing",30
2011,E09000018,Hounslow                      ,"Agriculture, forestry & fishing",15
2011,E09000019,Islington                     ,"Agriculture, forestry & fishing",15
2011,E09000020,Kensington and Chelsea        ,"Agriculture, forestry & fishing",35
2011,E09000021,Kingston upon Thames          ,"Agriculture, forestry & fishing",10
2011,E09000022,Lambeth                       ,"Agriculture, forestry & fishing",10
2011,E09000023,Lewisham                      ,"Agriculture, forestry & fishing",10
2011,E09000024,Merton                        ,"Agriculture, forestry & fishing",10
2011,E09000025,Newham                        ,"Agriculture, forestry & fishing",5
2011,E09000026,Redbridge                     ,"Agriculture, forestry & fishing",10
2011,E09000027,Richmond upon Thames          ,"Agriculture, forestry & fishing",20
2011,E09000028,Southwark                     ,"Agriculture, forestry & fishing",10
2011,E09000029,Sutton                        ,"Agriculture, forestry & fishing",35
2011,E09000030,Tower Hamlets                 ,"Agriculture, forestry & fishing",5
2011,E09000031,Waltham Forest                ,"Agriculture, forestry & fishing",10
2011,E09000032,Wandsworth                    ,"Agriculture, forestry & fishing",20
2011,E09000033,Westminster,"Agriculture, forestry & fishing",70
2010,E09000001,City of London                ,"Agriculture, forestry & fishing",10
2010,E09000002,Barking and Dagenham       ,"Agriculture, forestry & fishing",5
2010,E09000003,Barnet                        ,"Agriculture, forestry & fishing",25
2010,E09000004,Bexley                        ,"Agriculture, forestry & fishing",10
2010,E09000005,Brent                         ,"Agriculture, forestry & fishing",0
2010,E09000006,Bromley                       ,"Agriculture, forestry & fishing",55
2010,E09000007,Camden                     ,"Agriculture, forestry & fishing",15
2010,E09000008,Croydon                       ,"Agriculture, forestry & fishing",15
2010,E09000009,Ealing                        ,"Agriculture, forestry & fishing",15
2010,E09000010,Enfield                       ,"Agriculture, forestry & fishing",15
2010,E09000011,Greenwich                     ,"Agriculture, forestry & fishing",10
2010,E09000012,Hackney                       ,"Agriculture, forestry & fishing",5
2010,E09000013,Hammersmith and Fulham        ,"Agriculture, forestry & fishing",15
2010,E09000014,Haringey                      ,"Agriculture, forestry & fishing",10
2010,E09000015,Harrow                        ,"Agriculture, forestry & fishing",10
2010,E09000016,Havering                      ,"Agriculture, forestry & fishing",35
2010,E09000017,Hillingdon                    ,"Agriculture, forestry & fishing",30
2010,E09000018,Hounslow                      ,"Agriculture, forestry & fishing",15
2010,E09000019,Islington                     ,"Agriculture, forestry & fishing",15
2010,E09000020,Kensington and Chelsea        ,"Agriculture, forestry & fishing",30
2010,E09000021,Kingston upon Thames          ,"Agriculture, forestry & fishing",10
2010,E09000022,Lambeth                       ,"Agriculture, forestry & fishing",10
2010,E09000023,Lewisham                      ,"Agriculture, forestry & fishing",10
2010,E09000024,Merton                        ,"Agriculture, forestry & fishing",10
2010,E09000025,Newham                        ,"Agriculture, forestry & fishing",5
2010,E09000026,Redbridge                     ,"Agriculture, forestry & fishing",5
2010,E09000027,Richmond upon Thames          ,"Agriculture, forestry & fishing",20
2010,E09000028,Southwark                     ,"Agriculture, forestry & fishing",15
2010,E09000029,Sutton                        ,"Agriculture, forestry & fishing",25
2010,E09000030,Tower Hamlets                 ,"Agriculture, forestry & fishing",10
2010,E09000031,Waltham Forest                ,"Agriculture, forestry & fishing",10
2010,E09000032,Wandsworth                    ,"Agriculture, forestry & fishing",20
2010,E09000033,Westminster,"Agriculture, forestry & fishing",65
2009,E09000001,City of London                ,"Agriculture, forestry & fishing",25
2009,E09000002,Barking and Dagenham       ,"Agriculture, forestry & fishing",5
2009,E09000003,Barnet                        ,"Agriculture, forestry & fishing",30
2009,E09000004,Bexley                        ,"Agriculture, forestry & fishing",10
2009,E09000005,Brent                         ,"Agriculture, forestry & fishing",0
2009,E09000006,Bromley                       ,"Agriculture, forestry & fishing",55
2009,E09000007,Camden                     ,"Agriculture, forestry & fishing",20
2009,E09000008,Croydon                       ,"Agriculture, forestry & fishing",20
2009,E09000009,Ealing                        ,"Agriculture, forestry & fishing",10
2009,E09000010,Enfield                       ,"Agriculture, forestry & fishing",20
2009,E09000011,Greenwich                     ,"Agriculture, forestry & fishing",10
2009,E09000012,Hackney                       ,"Agriculture, forestry & fishing",15
2009,E09000013,Hammersmith and Fulham        ,"Agriculture, forestry & fishing",10
2009,E09000014,Haringey                      ,"Agriculture, forestry & fishing",10
2009,E09000015,Harrow                        ,"Agriculture, forestry & fishing",10
2009,E09000016,Havering                      ,"Agriculture, forestry & fishing",35
2009,E09000017,Hillingdon                    ,"Agriculture, forestry & fishing",35
2009,E09000018,Hounslow                      ,"Agriculture, forestry & fishing",15
2009,E09000019,Islington                     ,"Agriculture, forestry & fishing",10
2009,E09000020,Kensington and Chelsea        ,"Agriculture, forestry & fishing",35
2009,E09000021,Kingston upon Thames          ,"Agriculture, forestry & fishing",10
2009,E09000022,Lambeth                       ,"Agriculture, forestry & fishing",10
2009,E09000023,Lewisham                      ,"Agriculture, forestry & fishing",10
2009,E09000024,Merton                        ,"Agriculture, forestry & fishing",10
2009,E09000025,Newham                        ,"Agriculture, forestry & fishing",5
2009,E09000026,Redbridge                     ,"Agriculture, forestry & fishing",10
2009,E09000027,Richmond upon Thames          ,"Agriculture, forestry & fishing",20
2009,E09000028,Southwark                     ,"Agriculture, forestry & fishing",15
2009,E09000029,Sutton                        ,"Agriculture, forestry & fishing",25
2009,E09000030,Tower Hamlets                 ,"Agriculture, forestry & fishing",10
2009,E09000031,Waltham Forest                ,"Agriculture, forestry & fishing",10
2009,E09000032,Wandsworth                    ,"Agriculture, forestry & fishing",15
2009,E09000033,Westminster,"Agriculture, forestry & fishing",70
2018,E09000001,City of London,Production,715
2018,E09000002,Barking and Dagenham,Production,280
2018,E09000003,Barnet,Production,595
2018,E09000004,Bexley,Production,410
2018,E09000005,Brent,Production,540
2018,E09000006,Bromley,Production,475
2018,E09000007,Camden,Production,960
2018,E09000008,Croydon,Production,475
2018,E09000009,Ealing,Production,690
2018,E09000010,Enfield,Production,505
2018,E09000011,Greenwich,Production,325
2018,E09000012,Hackney,Production,680
2018,E09000013,Hammersmith and Fulham,Production,375
2018,E09000014,Haringey,Production,480
2018,E09000015,Harrow,Production,365
2018,E09000016,Havering,Production,440
2018,E09000017,Hillingdon,Production,510
2018,E09000018,Hounslow,Production,385
2018,E09000019,Islington,Production,565
2018,E09000020,Kensington and Chelsea,Production,350
2018,E09000021,Kingston upon Thames,Production,260
2018,E09000022,Lambeth,Production,350
2018,E09000023,Lewisham,Production,315
2018,E09000024,Merton,Production,350
2018,E09000025,Newham,Production,360
2018,E09000026,Redbridge,Production,360
2018,E09000027,Richmond upon Thames,Production,325
2018,E09000028,Southwark,Production,580
2018,E09000029,Sutton,Production,290
2018,E09000030,Tower Hamlets,Production,610
2018,E09000031,Waltham Forest,Production,390
2018,E09000032,Wandsworth,Production,460
2018,E09000033,Westminster,Production,"1,415"
2017,E09000001,City of London,Production,715
2017,E09000002,Barking and Dagenham,Production,355
2017,E09000003,Barnet,Production,625
2017,E09000004,Bexley,Production,455
2017,E09000005,Brent,Production,580
2017,E09000006,Bromley,Production,505
2017,E09000007,Camden,Production,860
2017,E09000008,Croydon,Production,510
2017,E09000009,Ealing,Production,740
2017,E09000010,Enfield,Production,535
2017,E09000011,Greenwich,Production,355
2017,E09000012,Hackney,Production,705
2017,E09000013,Hammersmith and Fulham,Production,410
2017,E09000014,Haringey,Production,480
2017,E09000015,Harrow,Production,335
2017,E09000016,Havering,Production,475
2017,E09000017,Hillingdon,Production,580
2017,E09000018,Hounslow,Production,435
2017,E09000019,Islington,Production,565
2017,E09000020,Kensington and Chelsea,Production,345
2017,E09000021,Kingston upon Thames,Production,285
2017,E09000022,Lambeth,Production,360
2017,E09000023,Lewisham,Production,320
2017,E09000024,Merton,Production,355
2017,E09000025,Newham,Production,380
2017,E09000026,Redbridge,Production,375
2017,E09000027,Richmond upon Thames,Production,330
2017,E09000028,Southwark,Production,560
2017,E09000029,Sutton,Production,315
2017,E09000030,Tower Hamlets,Production,605
2017,E09000031,Waltham Forest,Production,445
2017,E09000032,Wandsworth,Production,510
2017,E09000033,Westminster,Production,"1,405"
2016,E09000001,City of London,Production,560
2016,E09000002,Barking and Dagenham,Production,350
2016,E09000003,Barnet,Production,620
2016,E09000004,Bexley,Production,445
2016,E09000005,Brent,Production,560
2016,E09000006,Bromley,Production,495
2016,E09000007,Camden,Production,805
2016,E09000008,Croydon,Production,505
2016,E09000009,Ealing,Production,720
2016,E09000010,Enfield,Production,525
2016,E09000011,Greenwich,Production,375
2016,E09000012,Hackney,Production,660
2016,E09000013,Hammersmith and Fulham,Production,410
2016,E09000014,Haringey,Production,460
2016,E09000015,Harrow,Production,310
2016,E09000016,Havering,Production,450
2016,E09000017,Hillingdon,Production,575
2016,E09000018,Hounslow,Production,390
2016,E09000019,Islington,Production,555
2016,E09000020,Kensington and Chelsea,Production,330
2016,E09000021,Kingston upon Thames,Production,265
2016,E09000022,Lambeth,Production,345
2016,E09000023,Lewisham,Production,325
2016,E09000024,Merton,Production,360
2016,E09000025,Newham,Production,375
2016,E09000026,Redbridge,Production,485
2016,E09000027,Richmond upon Thames,Production,345
2016,E09000028,Southwark,Production,505
2016,E09000029,Sutton,Production,305
2016,E09000030,Tower Hamlets,Production,550
2016,E09000031,Waltham Forest,Production,440
2016,E09000032,Wandsworth,Production,485
2016,E09000033,Westminster,Production,"1,310"
2015,E09000001,City of London,Production,420
2015,E09000002,Barking and Dagenham,Production,270
2015,E09000003,Barnet,Production,590
2015,E09000004,Bexley,Production,405
2015,E09000005,Brent,Production,505
2015,E09000006,Bromley,Production,475
2015,E09000007,Camden,Production,700
2015,E09000008,Croydon,Production,455
2015,E09000009,Ealing,Production,635
2015,E09000010,Enfield,Production,490
2015,E09000011,Greenwich,Production,325
2015,E09000012,Hackney,Production,565
2015,E09000013,Hammersmith and Fulham,Production,355
2015,E09000014,Haringey,Production,435
2015,E09000015,Harrow,Production,300
2015,E09000016,Havering,Production,430
2015,E09000017,Hillingdon,Production,485
2015,E09000018,Hounslow,Production,335
2015,E09000019,Islington,Production,475
2015,E09000020,Kensington and Chelsea,Production,275
2015,E09000021,Kingston upon Thames,Production,250
2015,E09000022,Lambeth,Production,315
2015,E09000023,Lewisham,Production,290
2015,E09000024,Merton,Production,335
2015,E09000025,Newham,Production,300
2015,E09000026,Redbridge,Production,335
2015,E09000027,Richmond upon Thames,Production,310
2015,E09000028,Southwark,Production,400
2015,E09000029,Sutton,Production,280
2015,E09000030,Tower Hamlets,Production,470
2015,E09000031,Waltham Forest,Production,380
2015,E09000032,Wandsworth,Production,430
2015,E09000033,Westminster,Production,"1,150"
2014,E09000001,City of London,Production,325
2014,E09000002,Barking and Dagenham,Production,300
2014,E09000003,Barnet,Production,565
2014,E09000004,Bexley,Production,410
2014,E09000005,Brent,Production,565
2014,E09000006,Bromley,Production,490
2014,E09000007,Camden,Production,715
2014,E09000008,Croydon,Production,445
2014,E09000009,Ealing,Production,695
2014,E09000010,Enfield,Production,540
2014,E09000011,Greenwich,Production,350
2014,E09000012,Hackney,Production,545
2014,E09000013,Hammersmith and Fulham,Production,360
2014,E09000014,Haringey,Production,465
2014,E09000015,Harrow,Production,310
2014,E09000016,Havering,Production,460
2014,E09000017,Hillingdon,Production,545
2014,E09000018,Hounslow,Production,370
2014,E09000019,Islington,Production,515
2014,E09000020,Kensington and Chelsea,Production,295
2014,E09000021,Kingston upon Thames,Production,250
2014,E09000022,Lambeth,Production,340
2014,E09000023,Lewisham,Production,310
2014,E09000024,Merton,Production,350
2014,E09000025,Newham,Production,310
2014,E09000026,Redbridge,Production,380
2014,E09000027,Richmond upon Thames,Production,330
2014,E09000028,Southwark,Production,415
2014,E09000029,Sutton,Production,305
2014,E09000030,Tower Hamlets,Production,500
2014,E09000031,Waltham Forest,Production,445
2014,E09000032,Wandsworth,Production,470
2014,E09000033,Westminster,Production,"1,100"
2013,E09000001,City of London,Production,265
2013,E09000002,Barking and Dagenham,Production,310
2013,E09000003,Barnet,Production,585
2013,E09000004,Bexley,Production,430
2013,E09000005,Brent,Production,595
2013,E09000006,Bromley,Production,490
2013,E09000007,Camden,Production,730
2013,E09000008,Croydon,Production,470
2013,E09000009,Ealing,Production,670
2013,E09000010,Enfield,Production,535
2013,E09000011,Greenwich,Production,350
2013,E09000012,Hackney,Production,555
2013,E09000013,Hammersmith and Fulham,Production,345
