Area name,Year,% of economically active with NVQ4+ - working age_x,% of economically active with NVQ4+ - working age_y,% of economically active with NVQ3 only - working age,% of economically active with Trade Apprenticeships - working age,% of economically active with NVQ2 only - working age,% of economically active with NVQ1 only - working age,% of economically active with other qualifications - working age,% of economically active with no qualifications - working age,Gross Annual Pay - Full Time - Total (£),Gross Annual Pay - Full Time - Male (£),Gross Annual Pay - Full Time - Female (£),Median Modelled Household income (£),Mean Modelled Household income (£),Real change % (after inflation) - 2001/02 to 2012/13,Number of active businesses,Two-year business survival rates,Number Employed - Total,Number Employed - Male,Number Employed - Female,Jobs Density,Crime Rates per thousand population,Fires per thousand population,Ambulance incidents per hundred population,Total Carbon Emissions,Household Waste Recycling Rate,Number of Licensed Vehicles,Traffic Flows,% of adults who cycle at least once per month,Road Casualties (Killed or Seriously Injured),Average Public Transport Accessibility Score,% children living in out-of-work households
Barnet,2004,41.6,41.6,13.3,4.2,13,6.2,14.7,6.8,-,28709,-,,,,,,,,,,117.0352431,,,,20.0,,1622.0,,172.0,,
Barnet,2004,41.6,41.6,13.3,4.2,13,6.2,14.7,6.8,-,28709,-,,,,,,,,,,117.0352431,,,,20.0,,1622.0,,172.0,,
Bexley,2004,17.3,17.3,17.3,6.3,22.4,19.9,8.3,8.6,20946,24424,16964,,,,,,,,,,85.3669025,,,,30.0,,1004.0,,82.0,,
Bexley,2004,17.3,17.3,17.3,6.3,22.4,19.9,8.3,8.6,20946,24424,16964,,,,,,,,,,85.3669025,,,,30.0,,1004.0,,82.0,,
Bexley,2004,17.3,17.3,17.3,6.3,22.4,19.9,8.3,8.6,20946,24424,16964,,,,,,,,,,85.3669025,,,,30.0,,1004.0,,82.0,,
Bexley,2004,17.3,17.3,17.3,6.3,22.4,19.9,8.3,8.6,20946,24424,16964,,,,,,,,,,85.3669025,,,,30.0,,1004.0,,82.0,,
Brent,2004,31.7,31.7,11.1,4.1,8.7,7.6,25.2,11.6,23323,24744,20496,,,,,,,,,,132.6029031,,,,14.0,,977.0,,155.0,,
Brent,2004,31.7,31.7,11.1,4.1,8.7,7.6,25.2,11.6,23323,24744,20496,,,,,,,,,,132.6029031,,,,14.0,,977.0,,155.0,,
Brent,2004,31.7,31.7,11.1,4.1,8.7,7.6,25.2,11.6,23323,24744,20496,,,,,,,,,,132.6029031,,,,14.0,,977.0,,155.0,,
Brent,2004,31.7,31.7,11.1,4.1,8.7,7.6,25.2,11.6,23323,24744,20496,,,,,,,,,,132.6029031,,,,14.0,,977.0,,155.0,,
Bromley,2004,38.4,38.4,14,5.2,15.2,13,6.6,7.5,21192,22346,19727,,,,,,,,,,103.4654414,,,,23.0,,1333.0,,158.0,,
Bromley,2004,38.4,38.4,14,5.2,15.2,13,6.6,7.5,21192,22346,19727,,,,,,,,,,103.4654414,,,,23.0,,1333.0,,158.0,,
Bromley,2004,38.4,38.4,14,5.2,15.2,13,6.6,7.5,21192,22346,19727,,,,,,,,,,103.4654414,,,,23.0,,1333.0,,158.0,,
Bromley,2004,38.4,38.4,14,5.2,15.2,13,6.6,7.5,21192,22346,19727,,,,,,,,,,103.4654414,,,,23.0,,1333.0,,158.0,,
Camden,2004,55.7,55.7,7.5,0.7,7.1,4.6,19.7,4.6,30510,33985,27446,,,,,,,,,,219.1172995,,,,25.0,,574.0,,148.0,,
Camden,2004,55.7,55.7,7.5,0.7,7.1,4.6,19.7,4.6,30510,33985,27446,,,,,,,,,,219.1172995,,,,25.0,,574.0,,148.0,,
Camden,2004,55.7,55.7,7.5,0.7,7.1,4.6,19.7,4.6,30510,33985,27446,,,,,,,,,,219.1172995,,,,25.0,,574.0,,148.0,,
Camden,2004,55.7,55.7,7.5,0.7,7.1,4.6,19.7,4.6,30510,33985,27446,,,,,,,,,,219.1172995,,,,25.0,,574.0,,148.0,,
Croydon,2004,31.1,31.1,14.4,3.5,14.6,18.1,10.6,7.6,24371,27949,19942,,,,,,,,,,103.8281514,,,,13.0,,1311.0,,156.0,,
Croydon,2004,31.1,31.1,14.4,3.5,14.6,18.1,10.6,7.6,24371,27949,19942,,,,,,,,,,103.8281514,,,,13.0,,1311.0,,156.0,,
Croydon,2004,31.1,31.1,14.4,3.5,14.6,18.1,10.6,7.6,24371,27949,19942,,,,,,,,,,103.8281514,,,,13.0,,1311.0,,156.0,,
Croydon,2004,31.1,31.1,14.4,3.5,14.6,18.1,10.6,7.6,24371,27949,19942,,,,,,,,,,103.8281514,,,,13.0,,1311.0,,156.0,,
Ealing,2004,44.5,44.5,9.7,3.4,9.9,8.6,14.7,9.2,26722,28803,23238,,,,,,,,,,117.4497618,,,,15.0,,1343.0,,147.0,,
Ealing,2004,44.5,44.5,9.7,3.4,9.9,8.6,14.7,9.2,26722,28803,23238,,,,,,,,,,117.4497618,,,,15.0,,1343.0,,147.0,,
Ealing,2004,44.5,44.5,9.7,3.4,9.9,8.6,14.7,9.2,26722,28803,23238,,,,,,,,,,117.4497618,,,,15.0,,1343.0,,147.0,,
Ealing,2004,44.5,44.5,9.7,3.4,9.9,8.6,14.7,9.2,26722,28803,23238,,,,,,,,,,117.4497618,,,,15.0,,1343.0,,147.0,,
Enfield,2004,26.6,26.6,12.3,5.1,12.5,15.3,16.2,11.9,27414,29717,22703,,,,,,,,,,99.6786161,,,,24.0,,1559.0,,173.0,,
Enfield,2004,26.6,26.6,12.3,5.1,12.5,15.3,16.2,11.9,27414,29717,22703,,,,,,,,,,99.6786161,,,,24.0,,1559.0,,173.0,,
Enfield,2004,26.6,26.6,12.3,5.1,12.5,15.3,16.2,11.9,27414,29717,22703,,,,,,,,,,99.6786161,,,,24.0,,1559.0,,173.0,,
Enfield,2004,26.6,26.6,12.3,5.1,12.5,15.3,16.2,11.9,27414,29717,22703,,,,,,,,,,99.6786161,,,,24.0,,1559.0,,173.0,,
Greenwich,2004,32.9,32.9,13.7,5.6,14,12.5,12.8,8.6,25387,28079,20847,,,,,,,,,,137.2683657,,,,19.0,,1172.0,,113.0,,
Greenwich,2004,32.9,32.9,13.7,5.6,14,12.5,12.8,8.6,25387,28079,20847,,,,,,,,,,137.2683657,,,,19.0,,1172.0,,113.0,,
Greenwich,2004,32.9,32.9,13.7,5.6,14,12.5,12.8,8.6,25387,28079,20847,,,,,,,,,,137.2683657,,,,19.0,,1172.0,,113.0,,
Greenwich,2004,32.9,32.9,13.7,5.6,14,12.5,12.8,8.6,25387,28079,20847,,,,,,,,,,137.2683657,,,,19.0,,1172.0,,113.0,,
Hackney,2004,42.7,42.7,5.9,3.4,7.5,7.8,18,14.7,26687,29196,22985,,,,,,,,,,170.8578947,,,,12.0,,533.0,,149.0,,
Hackney,2004,42.7,42.7,5.9,3.4,7.5,7.8,18,14.7,26687,29196,22985,,,,,,,,,,170.8578947,,,,12.0,,533.0,,149.0,,
Hackney,2004,42.7,42.7,5.9,3.4,7.5,7.8,18,14.7,26687,29196,22985,,,,,,,,,,170.8578947,,,,12.0,,533.0,,149.0,,
Hackney,2004,42.7,42.7,5.9,3.4,7.5,7.8,18,14.7,26687,29196,22985,,,,,,,,,,170.8578947,,,,12.0,,533.0,,149.0,,
Hammersmith and Fulham,2004,55.5,55.5,8.3,2.5,4,4.3,21.1,4.3,29830,32621,26511,,,,,,,,,,157.7087801,,,,20.0,,600.0,,113.0,,
Hammersmith and Fulham,2004,55.5,55.5,8.3,2.5,4,4.3,21.1,4.3,29830,32621,26511,,,,,,,,,,157.7087801,,,,20.0,,600.0,,113.0,,
Hammersmith and Fulham,2004,55.5,55.5,8.3,2.5,4,4.3,21.1,4.3,29830,32621,26511,,,,,,,,,,157.7087801,,,,20.0,,600.0,,113.0,,
Hammersmith and Fulham,2004,55.5,55.5,8.3,2.5,4,4.3,21.1,4.3,29830,32621,26511,,,,,,,,,,157.7087801,,,,20.0,,600.0,,113.0,,
Haringey,2004,45.0,45.0,10.1,2.4,8.9,8.6,13.3,11.6,23481,25468,20415,,,,,,,,,,156.9862941,,,,14.0,,601.0,,131.0,,
Haringey,2004,45.0,45.0,10.1,2.4,8.9,8.6,13.3,11.6,23481,25468,20415,,,,,,,,,,156.9862941,,,,14.0,,601.0,,131.0,,
Haringey,2004,45.0,45.0,10.1,2.4,8.9,8.6,13.3,11.6,23481,25468,20415,,,,,,,,,,156.9862941,,,,14.0,,601.0,,131.0,,
Haringey,2004,45.0,45.0,10.1,2.4,8.9,8.6,13.3,11.6,23481,25468,20415,,,,,,,,,,156.9862941,,,,14.0,,601.0,,131.0,,
Harrow,2004,37.5,37.5,10.6,5.6,12.3,8.7,18.1,7.3,24750,28971,22508,,,,,,,,,,83.72521004,,,,19.0,,636.0,,83.0,,
Harrow,2004,37.5,37.5,10.6,5.6,12.3,8.7,18.1,7.3,24750,28971,22508,,,,,,,,,,83.72521004,,,,19.0,,636.0,,83.0,,
Harrow,2004,37.5,37.5,10.6,5.6,12.3,8.7,18.1,7.3,24750,28971,22508,,,,,,,,,,83.72521004,,,,19.0,,636.0,,83.0,,
Harrow,2004,37.5,37.5,10.6,5.6,12.3,8.7,18.1,7.3,24750,28971,22508,,,,,,,,,,83.72521004,,,,19.0,,636.0,,83.0,,
Havering,2004,13.7,13.7,15.2,7.3,22.9,18.9,9,13,18240,23192,14293,,,,,,,,,,94.92445819,,,,16.0,,1429.0,,130.0,,
Havering,2004,13.7,13.7,15.2,7.3,22.9,18.9,9,13,18240,23192,14293,,,,,,,,,,94.92445819,,,,16.0,,1429.0,,130.0,,
Havering,2004,13.7,13.7,15.2,7.3,22.9,18.9,9,13,18240,23192,14293,,,,,,,,,,94.92445819,,,,16.0,,1429.0,,130.0,,
Havering,2004,13.7,13.7,15.2,7.3,22.9,18.9,9,13,18240,23192,14293,,,,,,,,,,94.92445819,,,,16.0,,1429.0,,130.0,,
Hillingdon,2004,27.8,27.8,16.1,5.2,14.6,13.2,14.4,8.8,28003,29996,22231,,,,,,,,,,111.7853079,,,,27.0,,2194.0,,157.0,,
Hillingdon,2004,27.8,27.8,16.1,5.2,14.6,13.2,14.4,8.8,28003,29996,22231,,,,,,,,,,111.7853079,,,,27.0,,2194.0,,157.0,,
Hillingdon,2004,27.8,27.8,16.1,5.2,14.6,13.2,14.4,8.8,28003,29996,22231,,,,,,,,,,111.7853079,,,,27.0,,2194.0,,157.0,,
Hillingdon,2004,27.8,27.8,16.1,5.2,14.6,13.2,14.4,8.8,28003,29996,22231,,,,,,,,,,111.7853079,,,,27.0,,2194.0,,157.0,,
Hounslow,2004,30.4,30.4,13.2,3.8,11.6,12.9,19.5,8.5,27457,30526,23463,,,,,,,,,,127.178272,,,,17.0,,1647.0,,134.0,,
Hounslow,2004,30.4,30.4,13.2,3.8,11.6,12.9,19.5,8.5,27457,30526,23463,,,,,,,,,,127.178272,,,,17.0,,1647.0,,134.0,,
Hounslow,2004,30.4,30.4,13.2,3.8,11.6,12.9,19.5,8.5,27457,30526,23463,,,,,,,,,,127.178272,,,,17.0,,1647.0,,134.0,,
Hounslow,2004,30.4,30.4,13.2,3.8,11.6,12.9,19.5,8.5,27457,30526,23463,,,,,,,,,,127.178272,,,,17.0,,1647.0,,134.0,,
Islington,2004,50.4,50.4,9.6,1.3,7.5,8,10.4,12.9,30410,33092,27531,,,,,,,,,,209.8976392,,,,11.0,,454.0,,101.0,,
Islington,2004,50.4,50.4,9.6,1.3,7.5,8,10.4,12.9,30410,33092,27531,,,,,,,,,,209.8976392,,,,11.0,,454.0,,101.0,,
Islington,2004,50.4,50.4,9.6,1.3,7.5,8,10.4,12.9,30410,33092,27531,,,,,,,,,,209.8976392,,,,11.0,,454.0,,101.0,,
Islington,2004,50.4,50.4,9.6,1.3,7.5,8,10.4,12.9,30410,33092,27531,,,,,,,,,,209.8976392,,,,11.0,,454.0,,101.0,,
Kensington and Chelsea,2004,47.9,47.9,11.8,1.7,3.8,2.7,27.9,4.2,26846,28118,24608,,,,,,,,,,161.7597374,,,,18.0,,563.0,,105.0,,
Kensington and Chelsea,2004,47.9,47.9,11.8,1.7,3.8,2.7,27.9,4.2,26846,28118,24608,,,,,,,,,,161.7597374,,,,18.0,,563.0,,105.0,,
Kensington and Chelsea,2004,47.9,47.9,11.8,1.7,3.8,2.7,27.9,4.2,26846,28118,24608,,,,,,,,,,161.7597374,,,,18.0,,563.0,,105.0,,
Kensington and Chelsea,2004,47.9,47.9,11.8,1.7,3.8,2.7,27.9,4.2,26846,28118,24608,,,,,,,,,,161.7597374,,,,18.0,,563.0,,105.0,,
Kingston upon Thames,2004,46.1,46.1,15.9,3.6,10.7,11,9,3.7,23708,25056,22647,,,,,,,,,,103.8694515,,,,18.0,,982.0,,64.0,,
Kingston upon Thames,2004,46.1,46.1,15.9,3.6,10.7,11,9,3.7,23708,25056,22647,,,,,,,,,,103.8694515,,,,18.0,,982.0,,64.0,,
Kingston upon Thames,2004,46.1,46.1,15.9,3.6,10.7,11,9,3.7,23708,25056,22647,,,,,,,,,,103.8694515,,,,18.0,,982.0,,64.0,,
Kingston upon Thames,2004,46.1,46.1,15.9,3.6,10.7,11,9,3.7,23708,25056,22647,,,,,,,,,,103.8694515,,,,18.0,,982.0,,64.0,,
Lambeth,2004,49.0,49.0,7,2.5,7.6,6.8,15.8,11.2,27186,30010,24637,,,,,,,,,,166.9352663,,,,16.0,,855.0,,167.0,,
Lambeth,2004,49.0,49.0,7,2.5,7.6,6.8,15.8,11.2,27186,30010,24637,,,,,,,,,,166.9352663,,,,16.0,,855.0,,167.0,,
Lambeth,2004,49.0,49.0,7,2.5,7.6,6.8,15.8,11.2,27186,30010,24637,,,,,,,,,,166.9352663,,,,16.0,,855.0,,167.0,,
Lambeth,2004,49.0,49.0,7,2.5,7.6,6.8,15.8,11.2,27186,30010,24637,,,,,,,,,,166.9352663,,,,16.0,,855.0,,167.0,,
Lewisham,2004,38.2,38.2,12.3,3.3,11.4,11.7,14.7,8.4,25238,26998,24317,,,,,,,,,,137.9770652,,,,10.0,,848.0,,147.0,,
Lewisham,2004,38.2,38.2,12.3,3.3,11.4,11.7,14.7,8.4,25238,26998,24317,,,,,,,,,,137.9770652,,,,10.0,,848.0,,147.0,,
Lewisham,2004,38.2,38.2,12.3,3.3,11.4,11.7,14.7,8.4,25238,26998,24317,,,,,,,,,,137.9770652,,,,10.0,,848.0,,147.0,,
Lewisham,2004,38.2,38.2,12.3,3.3,11.4,11.7,14.7,8.4,25238,26998,24317,,,,,,,,,,137.9770652,,,,10.0,,848.0,,147.0,,
Merton,2004,39.8,39.8,11.1,5,11.1,8.3,16.7,8,23208,24773,-,,,,,,,,,,91.4783916,,,,20.0,,653.0,,79.0,,
Merton,2004,39.8,39.8,11.1,5,11.1,8.3,16.7,8,23208,24773,-,,,,,,,,,,91.4783916,,,,20.0,,653.0,,79.0,,
Merton,2004,39.8,39.8,11.1,5,11.1,8.3,16.7,8,23208,24773,-,,,,,,,,,,91.4783916,,,,20.0,,653.0,,79.0,,
Merton,2004,39.8,39.8,11.1,5,11.1,8.3,16.7,8,23208,24773,-,,,,,,,,,,91.4783916,,,,20.0,,653.0,,79.0,,
Newham,2004,23.3,23.3,8.6,3.2,11.7,12.6,19.6,21,-,27226,21949,,,,,,,,,,143.2984585,,,,6.0,,901.0,,114.0,,
Newham,2004,23.3,23.3,8.6,3.2,11.7,12.6,19.6,21,-,27226,21949,,,,,,,,,,143.2984585,,,,6.0,,901.0,,114.0,,
Newham,2004,23.3,23.3,8.6,3.2,11.7,12.6,19.6,21,-,27226,21949,,,,,,,,,,143.2984585,,,,6.0,,901.0,,114.0,,
Newham,2004,23.3,23.3,8.6,3.2,11.7,12.6,19.6,21,-,27226,21949,,,,,,,,,,143.2984585,,,,6.0,,901.0,,114.0,,
Redbridge,2004,30.8,30.8,10.4,3.7,14.7,13.4,15.5,11.5,-,-,19975,,,,,,,,,,105.2079397,,,,16.0,,1008.0,,118.0,,
Redbridge,2004,30.8,30.8,10.4,3.7,14.7,13.4,15.5,11.5,-,-,19975,,,,,,,,,,105.2079397,,,,16.0,,1008.0,,118.0,,
Redbridge,2004,30.8,30.8,10.4,3.7,14.7,13.4,15.5,11.5,-,-,19975,,,,,,,,,,105.2079397,,,,16.0,,1008.0,,118.0,,
Redbridge,2004,30.8,30.8,10.4,3.7,14.7,13.4,15.5,11.5,-,-,19975,,,,,,,,,,105.2079397,,,,16.0,,1008.0,,118.0,,
Richmond upon Thames,2004,51.1,51.1,15.7,2.8,7.4,4.6,14.2,4.2,26770,31948,22881,,,,,,,,,,85.43767288,,,,24.0,,880.0,,80.0,,
Richmond upon Thames,2004,51.1,51.1,15.7,2.8,7.4,4.6,14.2,4.2,26770,31948,22881,,,,,,,,,,85.43767288,,,,24.0,,880.0,,80.0,,
Richmond upon Thames,2004,51.1,51.1,15.7,2.8,7.4,4.6,14.2,4.2,26770,31948,22881,,,,,,,,,,85.43767288,,,,24.0,,880.0,,80.0,,
Richmond upon Thames,2004,51.1,51.1,15.7,2.8,7.4,4.6,14.2,4.2,26770,31948,22881,,,,,,,,,,85.43767288,,,,24.0,,880.0,,80.0,,
Southwark,2004,45.8,45.8,9.5,3.1,8.5,7.6,15.8,9.8,29609,32909,25065,,,,,,,,,,170.1450301,,,,11.0,,827.0,,126.0,,
Southwark,2004,45.8,45.8,9.5,3.1,8.5,7.6,15.8,9.8,29609,32909,25065,,,,,,,,,,170.1450301,,,,11.0,,827.0,,126.0,,
Southwark,2004,45.8,45.8,9.5,3.1,8.5,7.6,15.8,9.8,29609,32909,25065,,,,,,,,,,170.1450301,,,,11.0,,827.0,,126.0,,
Southwark,2004,45.8,45.8,9.5,3.1,8.5,7.6,15.8,9.8,29609,32909,25065,,,,,,,,,,170.1450301,,,,11.0,,827.0,,126.0,,
Sutton,2004,26.8,26.8,16.2,6.1,18.4,16.1,7.5,9,24514,25840,22037,,,,,,,,,,93.55362408,,,,28.0,,702.0,,64.0,,
Sutton,2004,26.8,26.8,16.2,6.1,18.4,16.1,7.5,9,24514,25840,22037,,,,,,,,,,93.55362408,,,,28.0,,702.0,,64.0,,
Sutton,2004,26.8,26.8,16.2,6.1,18.4,16.1,7.5,9,24514,25840,22037,,,,,,,,,,93.55362408,,,,28.0,,702.0,,64.0,,
Sutton,2004,26.8,26.8,16.2,6.1,18.4,16.1,7.5,9,24514,25840,22037,,,,,,,,,,93.55362408,,,,28.0,,702.0,,64.0,,
Tower Hamlets,2004,38.4,38.4,10.7,1.6,10.3,9.4,15.1,14.6,39128,43045,32610,,,,,,,,,,172.0497836,,,,7.0,,948.0,,133.0,,
Tower Hamlets,2004,38.4,38.4,10.7,1.6,10.3,9.4,15.1,14.6,39128,43045,32610,,,,,,,,,,172.0497836,,,,7.0,,948.0,,133.0,,
Tower Hamlets,2004,38.4,38.4,10.7,1.6,10.3,9.4,15.1,14.6,39128,43045,32610,,,,,,,,,,172.0497836,,,,7.0,,948.0,,133.0,,
Tower Hamlets,2004,38.4,38.4,10.7,1.6,10.3,9.4,15.1,14.6,39128,43045,32610,,,,,,,,,,172.0497836,,,,7.0,,948.0,,133.0,,
Waltham Forest,2004,30.4,30.4,8.1,4.8,15.5,14.3,14.4,12.6,23857,25173,20912,,,,,,,,,,131.069946,,,,18.0,,723.0,,105.0,,
Waltham Forest,2004,30.4,30.4,8.1,4.8,15.5,14.3,14.4,12.6,23857,25173,20912,,,,,,,,,,131.069946,,,,18.0,,723.0,,105.0,,
Waltham Forest,2004,30.4,30.4,8.1,4.8,15.5,14.3,14.4,12.6,23857,25173,20912,,,,,,,,,,131.069946,,,,18.0,,723.0,,105.0,,
Waltham Forest,2004,30.4,30.4,8.1,4.8,15.5,14.3,14.4,12.6,23857,25173,20912,,,,,,,,,,131.069946,,,,18.0,,723.0,,105.0,,
Wandsworth,2004,55.7,55.7,11.5,2.1,9.4,4.9,11.5,5,26137,28184,23966,,,,,,,,,,113.5653141,,,,17.0,,954.0,,150.0,,
Wandsworth,2004,55.7,55.7,11.5,2.1,9.4,4.9,11.5,5,26137,28184,23966,,,,,,,,,,113.5653141,,,,17.0,,954.0,,150.0,,
Wandsworth,2004,55.7,55.7,11.5,2.1,9.4,4.9,11.5,5,26137,28184,23966,,,,,,,,,,113.5653141,,,,17.0,,954.0,,150.0,,
Wandsworth,2004,55.7,55.7,11.5,2.1,9.4,4.9,11.5,5,26137,28184,23966,,,,,,,,,,113.5653141,,,,17.0,,954.0,,150.0,,
Westminster,2004,45.6,45.6,7,1.4,7.2,3.5,28.5,6.8,31482,35848,27127,,,,,,,,,,369.7758638,,,,15.0,,1013.0,,281.0,,
Westminster,2004,45.6,45.6,7,1.4,7.2,3.5,28.5,6.8,31482,35848,27127,,,,,,,,,,369.7758638,,,,15.0,,1013.0,,281.0,,
Westminster,2004,45.6,45.6,7,1.4,7.2,3.5,28.5,6.8,31482,35848,27127,,,,,,,,,,369.7758638,,,,15.0,,1013.0,,281.0,,
Westminster,2004,45.6,45.6,7,1.4,7.2,3.5,28.5,6.8,31482,35848,27127,,,,,,,,,,369.7758638,,,,15.0,,1013.0,,281.0,,
City of London,2005,73.1,73.1,!,!,!,!,!,!,45000,53356,34107,,,,,,,,,,-,,,1632.134854,18.0,,193.0,,43.0,,
Barking and Dagenham,2005,20.2,20.2,12,5.5,12,19.5,14.2,16.4,26680,28609,21086,,,,,,,,,,132.6838069,,,931.242174,17.0,,595.0,,52.0,,
Barnet,2005,46.9,46.9,12.2,3.1,9.9,6.1,15.4,6.4,27033,32316,22337,,,,,,,,,,106.4630077,,,1763.9588,27.0,,1634.0,,146.0,,
Bexley,2005,21.8,21.8,17.8,5.1,20.3,18.6,7.8,8.5,23936,26849,-,,,,,,,,,,89.98115931,,,1285.001927,38.0,,997.0,,87.0,,
Brent,2005,35.8,35.8,15.3,4.1,7.5,4.7,24.4,8.2,24209,25594,22008,,,,,,,,,,129.6970905,,,1427.991587,20.0,,973.0,,124.0,,
Bromley,2005,33.6,33.6,16.9,4.5,14.9,13.7,10.3,6.1,24241,25933,22160,,,,,,,,,,102.841818,,,1568.055999,27.0,,1315.0,,134.0,,
Camden,2005,60.0,60.0,7.8,2.3,7,6.7,12.4,3.8,31358,36581,27231,,,,,,,,,,200.0871674,,,1683.54726,27.0,,510.0,,131.0,,
Croydon,2005,32.6,32.6,15,4.2,14.4,15.2,10.9,7.6,24652,28192,-,,,,,,,,,,102.8131378,,,1765.572539,16.0,,1284.0,,158.0,,
Ealing,2005,44.0,44.0,9,3.1,8.7,8.7,20.8,5.9,27235,29529,22861,,,,,,,,,,119.2394508,,,1676.789471,19.0,,1325.0,,127.0,,
Enfield,2005,34.2,34.2,11.5,7,10.1,16,11.6,9.5,24594,28820,20595,,,,,,,,,,96.4712988,,,1586.931026,27.0,,1538.0,,126.0,,
Greenwich,2005,31.8,31.8,13.8,6.7,13,11.9,12.4,10.4,26330,29897,23095,,,,,,,,,,136.0295713,,,1262.883666,22.0,,1159.0,,108.0,,
Hackney,2005,41.7,41.7,7,3.1,8.2,7.6,18.4,13.9,28923,30583,26311,,,,,,,,,,159.9449453,,,915.265064,16.0,,523.0,,124.0,,
Hammersmith and Fulham,2005,57.0,57.0,7.8,1.8,6.1,7,14.4,5.9,30787,33855,28145,,,,,,,,,,149.2336634,,,1090.218794,21.0,,579.0,,122.0,,
Haringey,2005,45.5,45.5,8.8,2.2,10,7.6,16.5,9.3,24626,26886,22897,,,,,,,,,,154.2584976,,,1045.688707,19.0,,601.0,,94.0,,
Harrow,2005,37.2,37.2,12.6,3.5,12.2,8.7,19.9,5.9,26162,30052,23058,,,,,,,,,,79.06055384,,,1010.5361300000001,27.0,,627.0,,76.0,,
Havering,2005,20.4,20.4,15,6.1,15.6,19.9,8,14.9,24296,27190,-,,,,,,,,,,95.91611965,,,1323.0305039999998,18.0,,1465.0,,83.0,,
Hillingdon,2005,32.3,32.3,13.5,7.6,12.4,10.3,13.7,10,29351,32928,23506,,,,,,,,,,112.8624269,,,2324.5323940000003,28.0,,2170.0,,126.0,,
Hounslow,2005,31.6,31.6,14.2,3.6,11.2,12.7,18.4,8.3,29584,-,23842,,,,,,,,,,121.6975904,,,1602.235208,19.0,,1591.0,,120.0,,
Islington,2005,51.0,51.0,7.1,2.8,8.4,7.7,13,10,30499,32817,27664,,,,,,,,,,201.9326673,,,1186.063818,18.0,,446.0,,90.0,,
Kensington and Chelsea,2005,56.2,56.2,8.9,1.9,6.8,4.7,16.8,4.6,26855,28228,25232,,,,,,,,,,146.8804751,,,1374.684356,20.0,,558.0,,113.0,,
Kingston upon Thames,2005,42.8,42.8,13.2,1.6,13.3,9.2,13.4,6.4,24937,28812,21577,,,,,,,,,,99.29240798,,,888.6758762000001,24.0,,971.0,,63.0,,
Lambeth,2005,48.8,48.8,9.3,2,9.6,6.7,9.4,14.1,28347,30229,26497,,,,,,,,,,151.1706649,,,1413.445381,22.0,,835.0,,162.0,,
Lewisham,2005,36.6,36.6,11,3.9,9,12.3,18.2,9.1,28022,28644,24958,,,,,,,,,,130.965363,,,1169.173413,12.0,,835.0,,145.0,,
Merton,2005,47.0,47.0,10.1,3.6,9.6,8.5,10.4,10.7,25991,28211,20284,,,,,,,,,,90.76885137,,,910.2867114000001,23.0,,645.0,,71.0,,
Newham,2005,27.4,27.4,9,3.7,11.2,11.2,24.2,13.3,26331,29017,21752,,,,,,,,,,153.7443163,,,1454.917495,10.0,,931.0,,80.0,,
