Borough,Callout_type,Date,Number of reported incidents,Year,Month
Barking and dagenham,FALSE ALARMS AFAS NONDOM,01-13,17,2013,01
Barking and dagenham,FALSE ALARMS GOOD INTENT,01-13,19,2013,01
Barking and dagenham,MALICIOUS FALSE ALARMS,01-13,3,2013,01
Barking and dagenham,NONDOMFIRES NONRRO,01-13,0,2013,01
Barking and dagenham,NONDOMFIRES RRO,01-13,2,2013,01
Barking and dagenham,PRIMARY FIRES,01-13,18,2013,01
Barking and dagenham,PRIMARY FIRES IN DWELLINGS,01-13,12,2013,01
Barking and dagenham,ROAD TRAFFIC COLLISIONS,01-13,9,2013,01
Barking and dagenham,RUBBISH FIRES,01-13,12,2013,01
Barking and dagenham,SECONDARY FIRES,01-13,16,2013,01
Barking and dagenham,SHUT-IN-LIFT RELEASES,01-13,9,2013,01
Barking and dagenham,SPECIAL SERVICE ENTRY & EXIT,01-13,11,2013,01
Barnet,ACCIDENTAL FIRES IN RUBBISH,01-13,5,2013,01
Barnet,ACCIDENTAL OPEN LAND FIRES,01-13,0,2013,01
Barnet,ACCIDENTAL VEHICLE FIRES,01-13,5,2013,01
Barnet,ALL DELIBERATE FIRES,01-13,9,2013,01
Barnet,ALL FALSE ALARMS,01-13,121,2013,01
Barnet,ALL FIRES,01-13,44,2013,01
Barnet,ALL SPECIAL SERVICES,01-13,91,2013,01
Barnet,CARE HOME FIRES,01-13,4,2013,01
Barnet,DELIBERATE FIRES IN RUBBISH,01-13,1,2013,01
Barnet,DELIBERATE OPEN LAND FIRES,01-13,0,2013,01
Barnet,DELIBERATE VEHICLE FIRES,01-13,3,2013,01
Barnet,FALSE ALARMS AFAS DOM,01-13,30,2013,01
Barnet,FALSE ALARMS AFAS NONDOM,01-13,48,2013,01
Barnet,FALSE ALARMS GOOD INTENT,01-13,40,2013,01
Barnet,MALICIOUS FALSE ALARMS,01-13,3,2013,01
Barnet,NONDOMFIRES NONRRO,01-13,1,2013,01
Barnet,NONDOMFIRES RRO,01-13,5,2013,01
Barnet,PRIMARY FIRES,01-13,34,2013,01
Barnet,PRIMARY FIRES IN DWELLINGS,01-13,21,2013,01
Barnet,ROAD TRAFFIC COLLISIONS,01-13,18,2013,01
Barnet,RUBBISH FIRES,01-13,6,2013,01
Barnet,SECONDARY FIRES,01-13,10,2013,01
Barnet,SHUT-IN-LIFT RELEASES,01-13,11,2013,01
Barnet,SPECIAL SERVICE ENTRY & EXIT,01-13,16,2013,01
Bexley,ACCIDENTAL FIRES IN RUBBISH,01-13,9,2013,01
Bexley,ACCIDENTAL OPEN LAND FIRES,01-13,1,2013,01
Bexley,ACCIDENTAL VEHICLE FIRES,01-13,3,2013,01
Bexley,ALL DELIBERATE FIRES,01-13,6,2013,01
Bexley,ALL FALSE ALARMS,01-13,53,2013,01
Bexley,ALL FIRES,01-13,34,2013,01
Bexley,ALL SPECIAL SERVICES,01-13,45,2013,01
Bexley,CARE HOME FIRES,01-13,1,2013,01
Bexley,DELIBERATE FIRES IN RUBBISH,01-13,0,2013,01
Bexley,DELIBERATE OPEN LAND FIRES,01-13,0,2013,01
Bexley,DELIBERATE VEHICLE FIRES,01-13,4,2013,01
Bexley,FALSE ALARMS AFAS DOM,01-13,17,2013,01
Bexley,FALSE ALARMS AFAS NONDOM,01-13,22,2013,01
Bexley,FALSE ALARMS GOOD INTENT,01-13,13,2013,01
Bexley,MALICIOUS FALSE ALARMS,01-13,1,2013,01
Bexley,NONDOMFIRES NONRRO,01-13,1,2013,01
Bexley,NONDOMFIRES RRO,01-13,3,2013,01
Bexley,PRIMARY FIRES,01-13,23,2013,01
Bexley,PRIMARY FIRES IN DWELLINGS,01-13,10,2013,01
Bexley,ROAD TRAFFIC COLLISIONS,01-13,7,2013,01
Bexley,RUBBISH FIRES,01-13,9,2013,01
Bexley,SECONDARY FIRES,01-13,11,2013,01
Bexley,SHUT-IN-LIFT RELEASES,01-13,8,2013,01
Bexley,SPECIAL SERVICE ENTRY & EXIT,01-13,12,2013,01
Brent,ACCIDENTAL FIRES IN RUBBISH,01-13,14,2013,01
Brent,ACCIDENTAL OPEN LAND FIRES,01-13,1,2013,01
Brent,ACCIDENTAL VEHICLE FIRES,01-13,4,2013,01
Brent,ALL DELIBERATE FIRES,01-13,9,2013,01
Brent,ALL FALSE ALARMS,01-13,112,2013,01
Brent,ALL FIRES,01-13,61,2013,01
Brent,ALL SPECIAL SERVICES,01-13,71,2013,01
Brent,CARE HOME FIRES,01-13,4,2013,01
Brent,DELIBERATE FIRES IN RUBBISH,01-13,0,2013,01
Brent,DELIBERATE OPEN LAND FIRES,01-13,1,2013,01
Brent,DELIBERATE VEHICLE FIRES,01-13,5,2013,01
Brent,FALSE ALARMS AFAS DOM,01-13,27,2013,01
Brent,FALSE ALARMS AFAS NONDOM,01-13,47,2013,01
Brent,FALSE ALARMS GOOD INTENT,01-13,30,2013,01
Brent,MALICIOUS FALSE ALARMS,01-13,8,2013,01
Brent,NONDOMFIRES NONRRO,01-13,1,2013,01
Brent,NONDOMFIRES RRO,01-13,7,2013,01
Brent,PRIMARY FIRES,01-13,45,2013,01
Brent,PRIMARY FIRES IN DWELLINGS,01-13,27,2013,01
Brent,ROAD TRAFFIC COLLISIONS,01-13,7,2013,01
Brent,RUBBISH FIRES,01-13,14,2013,01
Brent,SECONDARY FIRES,01-13,16,2013,01
Brent,SHUT-IN-LIFT RELEASES,01-13,11,2013,01
Brent,SPECIAL SERVICE ENTRY & EXIT,01-13,22,2013,01
Bromley,ACCIDENTAL FIRES IN RUBBISH,01-13,3,2013,01
Bromley,ACCIDENTAL OPEN LAND FIRES,01-13,2,2013,01
Bromley,ACCIDENTAL VEHICLE FIRES,01-13,1,2013,01
Bromley,ALL DELIBERATE FIRES,01-13,5,2013,01
Bromley,ALL FALSE ALARMS,01-13,104,2013,01
Bromley,ALL FIRES,01-13,26,2013,01
Bromley,ALL SPECIAL SERVICES,01-13,58,2013,01
Bromley,CARE HOME FIRES,01-13,1,2013,01
Bromley,DELIBERATE FIRES IN RUBBISH,01-13,1,2013,01
Bromley,DELIBERATE OPEN LAND FIRES,01-13,0,2013,01
Bromley,DELIBERATE VEHICLE FIRES,01-13,3,2013,01
Bromley,FALSE ALARMS AFAS DOM,01-13,21,2013,01
Bromley,FALSE ALARMS AFAS NONDOM,01-13,59,2013,01
Bromley,FALSE ALARMS GOOD INTENT,01-13,19,2013,01
Bromley,MALICIOUS FALSE ALARMS,01-13,5,2013,01
Bromley,NONDOMFIRES NONRRO,01-13,1,2013,01
Bromley,NONDOMFIRES RRO,01-13,6,2013,01
Bromley,PRIMARY FIRES,01-13,20,2013,01
Bromley,PRIMARY FIRES IN DWELLINGS,01-13,8,2013,01
Bromley,ROAD TRAFFIC COLLISIONS,01-13,18,2013,01
Bromley,RUBBISH FIRES,01-13,4,2013,01
Bromley,SECONDARY FIRES,01-13,6,2013,01
Bromley,SHUT-IN-LIFT RELEASES,01-13,6,2013,01
Bromley,SPECIAL SERVICE ENTRY & EXIT,01-13,5,2013,01
Camden,ACCIDENTAL FIRES IN RUBBISH,01-13,9,2013,01
Camden,ACCIDENTAL OPEN LAND FIRES,01-13,3,2013,01
Camden,ACCIDENTAL VEHICLE FIRES,01-13,1,2013,01
Camden,ALL DELIBERATE FIRES,01-13,6,2013,01
Camden,ALL FALSE ALARMS,01-13,264,2013,01
Camden,ALL FIRES,01-13,67,2013,01
Camden,ALL SPECIAL SERVICES,01-13,99,2013,01
Camden,CARE HOME FIRES,01-13,2,2013,01
Camden,DELIBERATE FIRES IN RUBBISH,01-13,0,2013,01
Camden,DELIBERATE OPEN LAND FIRES,01-13,1,2013,01
Camden,DELIBERATE VEHICLE FIRES,01-13,1,2013,01
Camden,FALSE ALARMS AFAS DOM,01-13,64,2013,01
Camden,FALSE ALARMS AFAS NONDOM,01-13,162,2013,01
Camden,FALSE ALARMS GOOD INTENT,01-13,35,2013,01
Camden,MALICIOUS FALSE ALARMS,01-13,3,2013,01
Camden,NONDOMFIRES NONRRO,01-13,0,2013,01
Camden,NONDOMFIRES RRO,01-13,23,2013,01
Camden,PRIMARY FIRES,01-13,50,2013,01
Camden,PRIMARY FIRES IN DWELLINGS,01-13,25,2013,01
Camden,ROAD TRAFFIC COLLISIONS,01-13,7,2013,01
Camden,RUBBISH FIRES,01-13,9,2013,01
Camden,SECONDARY FIRES,01-13,17,2013,01
Camden,SHUT-IN-LIFT RELEASES,01-13,43,2013,01
Camden,SPECIAL SERVICE ENTRY & EXIT,01-13,18,2013,01
City of london,ACCIDENTAL FIRES IN RUBBISH,01-13,0,2013,01
City of london,ACCIDENTAL OPEN LAND FIRES,01-13,0,2013,01
City of london,ACCIDENTAL VEHICLE FIRES,01-13,0,2013,01
City of london,ALL DELIBERATE FIRES,01-13,0,2013,01
City of london,ALL FALSE ALARMS,01-13,75,2013,01
City of london,ALL FIRES,01-13,3,2013,01
City of london,ALL SPECIAL SERVICES,01-13,14,2013,01
City of london,CARE HOME FIRES,01-13,0,2013,01
City of london,DELIBERATE FIRES IN RUBBISH,01-13,0,2013,01
City of london,DELIBERATE OPEN LAND FIRES,01-13,0,2013,01
City of london,DELIBERATE VEHICLE FIRES,01-13,0,2013,01
City of london,FALSE ALARMS AFAS DOM,01-13,0,2013,01
City of london,FALSE ALARMS AFAS NONDOM,01-13,67,2013,01
City of london,FALSE ALARMS GOOD INTENT,01-13,8,2013,01
City of london,MALICIOUS FALSE ALARMS,01-13,0,2013,01
City of london,NONDOMFIRES NONRRO,01-13,0,2013,01
City of london,NONDOMFIRES RRO,01-13,3,2013,01
City of london,PRIMARY FIRES,01-13,3,2013,01
City of london,PRIMARY FIRES IN DWELLINGS,01-13,0,2013,01
City of london,ROAD TRAFFIC COLLISIONS,01-13,1,2013,01
City of london,RUBBISH FIRES,01-13,0,2013,01
City of london,SECONDARY FIRES,01-13,0,2013,01
City of london,SHUT-IN-LIFT RELEASES,01-13,3,2013,01
City of london,SPECIAL SERVICE ENTRY & EXIT,01-13,1,2013,01
Croydon,ACCIDENTAL FIRES IN RUBBISH,01-13,7,2013,01
Croydon,ACCIDENTAL OPEN LAND FIRES,01-13,3,2013,01
Croydon,ACCIDENTAL VEHICLE FIRES,01-13,4,2013,01
Croydon,ALL DELIBERATE FIRES,01-13,18,2013,01
Croydon,ALL FALSE ALARMS,01-13,107,2013,01
Croydon,ALL FIRES,01-13,63,2013,01
Croydon,ALL SPECIAL SERVICES,01-13,106,2013,01
Croydon,CARE HOME FIRES,01-13,2,2013,01
Croydon,DELIBERATE FIRES IN RUBBISH,01-13,5,2013,01
Croydon,DELIBERATE OPEN LAND FIRES,01-13,2,2013,01
Croydon,DELIBERATE VEHICLE FIRES,01-13,4,2013,01
Croydon,FALSE ALARMS AFAS DOM,01-13,34,2013,01
Croydon,FALSE ALARMS AFAS NONDOM,01-13,33,2013,01
Croydon,FALSE ALARMS GOOD INTENT,01-13,31,2013,01
Croydon,MALICIOUS FALSE ALARMS,01-13,9,2013,01
Croydon,NONDOMFIRES NONRRO,01-13,5,2013,01
Croydon,NONDOMFIRES RRO,01-13,5,2013,01
Croydon,PRIMARY FIRES,01-13,42,2013,01
Croydon,PRIMARY FIRES IN DWELLINGS,01-13,25,2013,01
Croydon,ROAD TRAFFIC COLLISIONS,01-13,19,2013,01
Croydon,RUBBISH FIRES,01-13,12,2013,01
Croydon,SECONDARY FIRES,01-13,21,2013,01
Croydon,SHUT-IN-LIFT RELEASES,01-13,8,2013,01
Croydon,SPECIAL SERVICE ENTRY & EXIT,01-13,21,2013,01
Ealing,ACCIDENTAL FIRES IN RUBBISH,01-13,8,2013,01
Ealing,ACCIDENTAL OPEN LAND FIRES,01-13,4,2013,01
Ealing,ACCIDENTAL VEHICLE FIRES,01-13,7,2013,01
Ealing,ALL DELIBERATE FIRES,01-13,11,2013,01
Ealing,ALL FALSE ALARMS,01-13,132,2013,01
Ealing,ALL FIRES,01-13,64,2013,01
Ealing,ALL SPECIAL SERVICES,01-13,70,2013,01
Ealing,CARE HOME FIRES,01-13,3,2013,01
Ealing,DELIBERATE FIRES IN RUBBISH,01-13,5,2013,01
Ealing,DELIBERATE OPEN LAND FIRES,01-13,3,2013,01
Ealing,DELIBERATE VEHICLE FIRES,01-13,0,2013,01
Ealing,FALSE ALARMS AFAS DOM,01-13,43,2013,01
Ealing,FALSE ALARMS AFAS NONDOM,01-13,55,2013,01
Ealing,FALSE ALARMS GOOD INTENT,01-13,28,2013,01
Ealing,MALICIOUS FALSE ALARMS,01-13,6,2013,01
Ealing,NONDOMFIRES NONRRO,01-13,2,2013,01
Ealing,NONDOMFIRES RRO,01-13,7,2013,01
Ealing,PRIMARY FIRES,01-13,42,2013,01
Ealing,PRIMARY FIRES IN DWELLINGS,01-13,24,2013,01
Ealing,ROAD TRAFFIC COLLISIONS,01-13,18,2013,01
Ealing,RUBBISH FIRES,01-13,13,2013,01
Ealing,SECONDARY FIRES,01-13,22,2013,01
Ealing,SHUT-IN-LIFT RELEASES,01-13,5,2013,01
Ealing,SPECIAL SERVICE ENTRY & EXIT,01-13,20,2013,01
Enfield,ACCIDENTAL FIRES IN RUBBISH,01-13,8,2013,01
Enfield,ACCIDENTAL OPEN LAND FIRES,01-13,2,2013,01
Enfield,ACCIDENTAL VEHICLE FIRES,01-13,6,2013,01
Enfield,ALL DELIBERATE FIRES,01-13,8,2013,01
Enfield,ALL FALSE ALARMS,01-13,86,2013,01
Enfield,ALL FIRES,01-13,56,2013,01
Enfield,ALL SPECIAL SERVICES,01-13,86,2013,01
Enfield,CARE HOME FIRES,01-13,3,2013,01
Enfield,DELIBERATE FIRES IN RUBBISH,01-13,4,2013,01
Enfield,DELIBERATE OPEN LAND FIRES,01-13,1,2013,01
Enfield,DELIBERATE VEHICLE FIRES,01-13,0,2013,01
Enfield,FALSE ALARMS AFAS DOM,01-13,18,2013,01
Enfield,FALSE ALARMS AFAS NONDOM,01-13,36,2013,01
Enfield,FALSE ALARMS GOOD INTENT,01-13,27,2013,01
Enfield,MALICIOUS FALSE ALARMS,01-13,5,2013,01
Enfield,NONDOMFIRES NONRRO,01-13,3,2013,01
Enfield,NONDOMFIRES RRO,01-13,7,2013,01
Enfield,PRIMARY FIRES,01-13,39,2013,01
Enfield,PRIMARY FIRES IN DWELLINGS,01-13,23,2013,01
Enfield,ROAD TRAFFIC COLLISIONS,01-13,12,2013,01
Enfield,RUBBISH FIRES,01-13,12,2013,01
Enfield,SECONDARY FIRES,01-13,17,2013,01
Enfield,SHUT-IN-LIFT RELEASES,01-13,15,2013,01
Enfield,SPECIAL SERVICE ENTRY & EXIT,01-13,17,2013,01
Greenwich,ACCIDENTAL FIRES IN RUBBISH,01-13,7,2013,01
Greenwich,ACCIDENTAL OPEN LAND FIRES,01-13,1,2013,01
Greenwich,ACCIDENTAL VEHICLE FIRES,01-13,3,2013,01
Greenwich,ALL DELIBERATE FIRES,01-13,12,2013,01
Greenwich,ALL FALSE ALARMS,01-13,78,2013,01
Greenwich,ALL FIRES,01-13,44,2013,01
Greenwich,ALL SPECIAL SERVICES,01-13,84,2013,01
Greenwich,CARE HOME FIRES,01-13,2,2013,01
Greenwich,DELIBERATE FIRES IN RUBBISH,01-13,2,2013,01
Greenwich,DELIBERATE OPEN LAND FIRES,01-13,0,2013,01
Greenwich,DELIBERATE VEHICLE FIRES,01-13,4,2013,01
Greenwich,FALSE ALARMS AFAS DOM,01-13,6,2013,01
Greenwich,FALSE ALARMS AFAS NONDOM,01-13,34,2013,01
Greenwich,FALSE ALARMS GOOD INTENT,01-13,38,2013,01
Greenwich,MALICIOUS FALSE ALARMS,01-13,0,2013,01
Greenwich,NONDOMFIRES NONRRO,01-13,1,2013,01
Greenwich,NONDOMFIRES RRO,01-13,8,2013,01
Greenwich,PRIMARY FIRES,01-13,33,2013,01
Greenwich,PRIMARY FIRES IN DWELLINGS,01-13,16,2013,01
Greenwich,ROAD TRAFFIC COLLISIONS,01-13,11,2013,01
Greenwich,RUBBISH FIRES,01-13,9,2013,01
Greenwich,SECONDARY FIRES,01-13,11,2013,01
Greenwich,SHUT-IN-LIFT RELEASES,01-13,16,2013,01
Greenwich,SPECIAL SERVICE ENTRY & EXIT,01-13,21,2013,01
Hackney,ACCIDENTAL FIRES IN RUBBISH,01-13,17,2013,01
Hackney,ACCIDENTAL OPEN LAND FIRES,01-13,2,2013,01
Hackney,ACCIDENTAL VEHICLE FIRES,01-13,0,2013,01
Hackney,ALL DELIBERATE FIRES,01-13,8,2013,01
Hackney,ALL FALSE ALARMS,01-13,160,2013,01
Hackney,ALL FIRES,01-13,57,2013,01
Hackney,ALL SPECIAL SERVICES,01-13,152,2013,01
Hackney,CARE HOME FIRES,01-13,4,2013,01
Hackney,DELIBERATE FIRES IN RUBBISH,01-13,4,2013,01
Hackney,DELIBERATE OPEN LAND FIRES,01-13,1,2013,01
Hackney,DELIBERATE VEHICLE FIRES,01-13,4,2013,01
Hackney,FALSE ALARMS AFAS DOM,01-13,60,2013,01
Hackney,FALSE ALARMS AFAS NONDOM,01-13,63,2013,01
Hackney,FALSE ALARMS GOOD INTENT,01-13,34,2013,01
Hackney,MALICIOUS FALSE ALARMS,01-13,3,2013,01
Hackney,NONDOMFIRES NONRRO,01-13,0,2013,01
Hackney,NONDOMFIRES RRO,01-13,8,2013,01
Hackney,PRIMARY FIRES,01-13,33,2013,01
Hackney,PRIMARY FIRES IN DWELLINGS,01-13,21,2013,01
Hackney,ROAD TRAFFIC COLLISIONS,01-13,4,2013,01
Hackney,RUBBISH FIRES,01-13,21,2013,01
Hackney,SECONDARY FIRES,01-13,24,2013,01
Hackney,SHUT-IN-LIFT RELEASES,01-13,66,2013,01
Hackney,SPECIAL SERVICE ENTRY & EXIT,01-13,24,2013,01
Hammersmith and fulham,ACCIDENTAL FIRES IN RUBBISH,01-13,9,2013,01
Hammersmith and fulham,ACCIDENTAL OPEN LAND FIRES,01-13,5,2013,01
Hammersmith and fulham,ACCIDENTAL VEHICLE FIRES,01-13,0,2013,01
Hammersmith and fulham,ALL DELIBERATE FIRES,01-13,3,2013,01
Hammersmith and fulham,ALL FALSE ALARMS,01-13,99,2013,01
Hammersmith and fulham,ALL FIRES,01-13,37,2013,01
Hammersmith and fulham,ALL SPECIAL SERVICES,01-13,78,2013,01
Hammersmith and fulham,CARE HOME FIRES,01-13,2,2013,01
Hammersmith and fulham,DELIBERATE FIRES IN RUBBISH,01-13,1,2013,01
Hammersmith and fulham,DELIBERATE OPEN LAND FIRES,01-13,1,2013,01
Hammersmith and fulham,DELIBERATE VEHICLE FIRES,01-13,0,2013,01
Hammersmith and fulham,FALSE ALARMS AFAS DOM,01-13,51,2013,01
Hammersmith and fulham,FALSE ALARMS AFAS NONDOM,01-13,28,2013,01
Hammersmith and fulham,FALSE ALARMS GOOD INTENT,01-13,19,2013,01
Hammersmith and fulham,MALICIOUS FALSE ALARMS,01-13,1,2013,01
Hammersmith and fulham,NONDOMFIRES NONRRO,01-13,0,2013,01
Hammersmith and fulham,NONDOMFIRES RRO,01-13,1,2013,01
Hammersmith and fulham,PRIMARY FIRES,01-13,20,2013,01
Hammersmith and fulham,PRIMARY FIRES IN DWELLINGS,01-13,19,2013,01
Hammersmith and fulham,ROAD TRAFFIC COLLISIONS,01-13,5,2013,01
Hammersmith and fulham,RUBBISH FIRES,01-13,10,2013,01
Hammersmith and fulham,SECONDARY FIRES,01-13,17,2013,01
Hammersmith and fulham,SHUT-IN-LIFT RELEASES,01-13,25,2013,01
Hammersmith and fulham,SPECIAL SERVICE ENTRY & EXIT,01-13,11,2013,01
Haringey,ACCIDENTAL FIRES IN RUBBISH,01-13,7,2013,01
Haringey,ACCIDENTAL OPEN LAND FIRES,01-13,0,2013,01
Haringey,ACCIDENTAL VEHICLE FIRES,01-13,2,2013,01
Haringey,ALL DELIBERATE FIRES,01-13,4,2013,01
Haringey,ALL FALSE ALARMS,01-13,92,2013,01
Haringey,ALL FIRES,01-13,33,2013,01
Haringey,ALL SPECIAL SERVICES,01-13,86,2013,01
Haringey,CARE HOME FIRES,01-13,0,2013,01
Haringey,DELIBERATE FIRES IN RUBBISH,01-13,2,2013,01
Haringey,DELIBERATE OPEN LAND FIRES,01-13,1,2013,01
Haringey,DELIBERATE VEHICLE FIRES,01-13,0,2013,01
Haringey,FALSE ALARMS AFAS DOM,01-13,40,2013,01
Haringey,FALSE ALARMS AFAS NONDOM,01-13,30,2013,01
Haringey,FALSE ALARMS GOOD INTENT,01-13,18,2013,01
Haringey,MALICIOUS FALSE ALARMS,01-13,4,2013,01
Haringey,NONDOMFIRES NONRRO,01-13,2,2013,01
Haringey,NONDOMFIRES RRO,01-13,4,2013,01
Haringey,PRIMARY FIRES,01-13,22,2013,01
Haringey,PRIMARY FIRES IN DWELLINGS,01-13,14,2013,01
Haringey,ROAD TRAFFIC COLLISIONS,01-13,10,2013,01
Haringey,RUBBISH FIRES,01-13,9,2013,01
Haringey,SECONDARY FIRES,01-13,11,2013,01
Haringey,SHUT-IN-LIFT RELEASES,01-13,3,2013,01
Haringey,SPECIAL SERVICE ENTRY & EXIT,01-13,21,2013,01
Harrow,ACCIDENTAL FIRES IN RUBBISH,01-13,4,2013,01
Harrow,ACCIDENTAL OPEN LAND FIRES,01-13,1,2013,01
Harrow,ACCIDENTAL VEHICLE FIRES,01-13,2,2013,01
Harrow,ALL DELIBERATE FIRES,01-13,2,2013,01
Harrow,ALL FALSE ALARMS,01-13,82,2013,01
Harrow,ALL FIRES,01-13,26,2013,01
Harrow,ALL SPECIAL SERVICES,01-13,36,2013,01
Harrow,CARE HOME FIRES,01-13,3,2013,01
Harrow,DELIBERATE FIRES IN RUBBISH,01-13,1,2013,01
Harrow,DELIBERATE OPEN LAND FIRES,01-13,0,2013,01
Harrow,DELIBERATE VEHICLE FIRES,01-13,1,2013,01
Harrow,FALSE ALARMS AFAS DOM,01-13,43,2013,01
Harrow,FALSE ALARMS AFAS NONDOM,01-13,26,2013,01
Harrow,FALSE ALARMS GOOD INTENT,01-13,11,2013,01
Harrow,MALICIOUS FALSE ALARMS,01-13,2,2013,01
Harrow,NONDOMFIRES NONRRO,01-13,0,2013,01
Harrow,NONDOMFIRES RRO,01-13,4,2013,01
Harrow,PRIMARY FIRES,01-13,20,2013,01
Harrow,PRIMARY FIRES IN DWELLINGS,01-13,13,2013,01
Harrow,ROAD TRAFFIC COLLISIONS,01-13,9,2013,01
Harrow,RUBBISH FIRES,01-13,5,2013,01
Harrow,SECONDARY FIRES,01-13,6,2013,01
Harrow,SHUT-IN-LIFT RELEASES,01-13,1,2013,01
Harrow,SPECIAL SERVICE ENTRY & EXIT,01-13,7,2013,01
Havering,ACCIDENTAL FIRES IN RUBBISH,01-13,4,2013,01
Havering,ACCIDENTAL OPEN LAND FIRES,01-13,2,2013,01
Havering,ACCIDENTAL VEHICLE FIRES,01-13,6,2013,01
Havering,ALL DELIBERATE FIRES,01-13,4,2013,01
Havering,ALL FALSE ALARMS,01-13,69,2013,01
Havering,ALL FIRES,01-13,24,2013,01
Havering,ALL SPECIAL SERVICES,01-13,47,2013,01
Havering,CARE HOME FIRES,01-13,1,2013,01
Havering,DELIBERATE FIRES IN RUBBISH,01-13,3,2013,01
Havering,DELIBERATE OPEN LAND FIRES,01-13,1,2013,01
Havering,DELIBERATE VEHICLE FIRES,01-13,0,2013,01
Havering,FALSE ALARMS AFAS DOM,01-13,27,2013,01
Havering,FALSE ALARMS AFAS NONDOM,01-13,18,2013,01
Havering,FALSE ALARMS GOOD INTENT,01-13,24,2013,01
Havering,MALICIOUS FALSE ALARMS,01-13,0,2013,01
Havering,NONDOMFIRES NONRRO,01-13,0,2013,01
Havering,NONDOMFIRES RRO,01-13,4,2013,01
Havering,PRIMARY FIRES,01-13,15,2013,01
Havering,PRIMARY FIRES IN DWELLINGS,01-13,4,2013,01
Havering,ROAD TRAFFIC COLLISIONS,01-13,14,2013,01
Havering,RUBBISH FIRES,01-13,7,2013,01
Havering,SECONDARY FIRES,01-13,9,2013,01
Havering,SHUT-IN-LIFT RELEASES,01-13,4,2013,01
Havering,SPECIAL SERVICE ENTRY & EXIT,01-13,2,2013,01
Hillingdon,ACCIDENTAL FIRES IN RUBBISH,01-13,4,2013,01
Hillingdon,ACCIDENTAL OPEN LAND FIRES,01-13,2,2013,01
Hillingdon,ACCIDENTAL VEHICLE FIRES,01-13,11,2013,01
Hillingdon,ALL DELIBERATE FIRES,01-13,13,2013,01
Hillingdon,ALL FALSE ALARMS,01-13,153,2013,01
Hillingdon,ALL FIRES,01-13,48,2013,01
Hillingdon,ALL SPECIAL SERVICES,01-13,57,2013,01
Hillingdon,CARE HOME FIRES,01-13,1,2013,01
Hillingdon,DELIBERATE FIRES IN RUBBISH,01-13,4,2013,01
Hillingdon,DELIBERATE OPEN LAND FIRES,01-13,2,2013,01
Hillingdon,DELIBERATE VEHICLE FIRES,01-13,4,2013,01
Hillingdon,FALSE ALARMS AFAS DOM,01-13,24,2013,01
Hillingdon,FALSE ALARMS AFAS NONDOM,01-13,85,2013,01
Hillingdon,FALSE ALARMS GOOD INTENT,01-13,38,2013,01
