Code,Area,Count,Year,Mode,Type
00AP,Haringey,46.0,2002,Petrol Cars,Personal
00AQ,Harrow,45.9,2002,Petrol Cars,Personal
00AR,Havering,76.4,2002,Petrol Cars,Personal
00AS,Hillingdon,108.0,2002,Petrol Cars,Personal
00AT,Hounslow,88.5,2002,Petrol Cars,Personal
00AU,Islington,32.8,2002,Petrol Cars,Personal
00AW,Kensington and Chelsea,40.5,2002,Petrol Cars,Personal
00AX,Kingston upon Thames,47.3,2002,Petrol Cars,Personal
00AY,Lambeth,52.9,2002,Petrol Cars,Personal
00AZ,Lewisham,57.9,2002,Petrol Cars,Personal
00BA,Merton,41.4,2002,Petrol Cars,Personal
00BB,Newham,63.9,2002,Petrol Cars,Personal
00BC,Redbridge,74.9,2002,Petrol Cars,Personal
00BD,Richmond upon Thames,53.3,2002,Petrol Cars,Personal
00BE,Southwark,55.4,2002,Petrol Cars,Personal
00BF,Sutton,44.6,2002,Petrol Cars,Personal
00BG,Tower Hamlets,51.4,2002,Petrol Cars,Personal
00BH,Waltham Forest,47.7,2002,Petrol Cars,Personal
00BJ,Wandsworth,60.6,2002,Petrol Cars,Personal
00BK,Westminster,68.9,2002,Petrol Cars,Personal
00AA,City of London,0.7,2002,Motor-cycles,Personal
00AB,Barking and Dagenham,0.5,2002,Motor-cycles,Personal
00AC,Barnet,1.3,2002,Motor-cycles,Personal
00AD,Bexley,0.9,2002,Motor-cycles,Personal
00AE,Brent,0.6,2002,Motor-cycles,Personal
00AF,Bromley,1.3,2002,Motor-cycles,Personal
00AG,Camden,1.4,2002,Motor-cycles,Personal
00AH,Croydon,1.2,2002,Motor-cycles,Personal
00AJ,Ealing,1,2002,Motor-cycles,Personal
00AK,Enfield,0.8,2002,Motor-cycles,Personal
00AL,Greenwich,1,2002,Motor-cycles,Personal
00AM,Hackney,0.7,2002,Motor-cycles,Personal
00AN,Hammersmith and Fulham,0.9,2002,Motor-cycles,Personal
00AP,Haringey,0.8,2002,Motor-cycles,Personal
00AQ,Harrow,0.5,2002,Motor-cycles,Personal
00AR,Havering,1,2002,Motor-cycles,Personal
00AS,Hillingdon,1.1,2002,Motor-cycles,Personal
00AT,Hounslow,1.2,2002,Motor-cycles,Personal
00AU,Islington,1,2002,Motor-cycles,Personal
00AW,Kensington and Chelsea,1.1,2002,Motor-cycles,Personal
00AX,Kingston upon Thames,0.7,2002,Motor-cycles,Personal
00AY,Lambeth,1.4,2002,Motor-cycles,Personal
00AZ,Lewisham,1.1,2002,Motor-cycles,Personal
00BA,Merton,0.7,2002,Motor-cycles,Personal
00BB,Newham,1,2002,Motor-cycles,Personal
00BC,Redbridge,0.9,2002,Motor-cycles,Personal
00BD,Richmond upon Thames,0.9,2002,Motor-cycles,Personal
00BE,Southwark,1.5,2002,Motor-cycles,Personal
00BF,Sutton,0.7,2002,Motor-cycles,Personal
00BG,Tower Hamlets,1.6,2002,Motor-cycles,Personal
00BH,Waltham Forest,0.7,2002,Motor-cycles,Personal
00BJ,Wandsworth,1.5,2002,Motor-cycles,Personal
00BK,Westminster,2.5,2002,Motor-cycles,Personal
00AA,City of London,2.3,2002,HGV,Freight
00AB,Barking and Dagenham,8.8,2002,HGV,Freight
00AC,Barnet,15.4,2002,HGV,Freight
00AD,Bexley,11.4,2002,HGV,Freight
00AE,Brent,7.6,2002,HGV,Freight
00AF,Bromley,12.3,2002,HGV,Freight
00AG,Camden,6.8,2002,HGV,Freight
00AH,Croydon,11.9,2002,HGV,Freight
00AJ,Ealing,12.5,2002,HGV,Freight
00AK,Enfield,19.4,2002,HGV,Freight
00AL,Greenwich,12.0,2002,HGV,Freight
00AM,Hackney,5.2,2002,HGV,Freight
00AN,Hammersmith and Fulham,4.5,2002,HGV,Freight
00AP,Haringey,6.5,2002,HGV,Freight
00AQ,Harrow,5.3,2002,HGV,Freight
00AR,Havering,27.2,2002,HGV,Freight
00AS,Hillingdon,26.2,2002,HGV,Freight
00AT,Hounslow,15.5,2002,HGV,Freight
00AU,Islington,5.3,2002,HGV,Freight
00AW,Kensington and Chelsea,6.1,2002,HGV,Freight
00AX,Kingston upon Thames,6.7,2002,HGV,Freight
00AY,Lambeth,8.1,2002,HGV,Freight
00AZ,Lewisham,8.5,2002,HGV,Freight
00BA,Merton,6.5,2002,HGV,Freight
00BB,Newham,13.5,2002,HGV,Freight
00BC,Redbridge,13.6,2002,HGV,Freight
00BD,Richmond upon Thames,6.8,2002,HGV,Freight
00BE,Southwark,8.1,2002,HGV,Freight
00BF,Sutton,5.7,2002,HGV,Freight
00BG,Tower Hamlets,11.8,2002,HGV,Freight
00BH,Waltham Forest,8.7,2002,HGV,Freight
00BJ,Wandsworth,9.0,2002,HGV,Freight
00BK,Westminster,11.1,2002,HGV,Freight
00AA,City of London,2.7,2002,Diesel LGV ,Freight
00AB,Barking and Dagenham,7.9,2002,Diesel LGV ,Freight
00AC,Barnet,21.7,2002,Diesel LGV ,Freight
00AD,Bexley,14.0,2002,Diesel LGV ,Freight
00AE,Brent,10.9,2002,Diesel LGV ,Freight
00AF,Bromley,19.0,2002,Diesel LGV ,Freight
00AG,Camden,9.5,2002,Diesel LGV ,Freight
00AH,Croydon,17.1,2002,Diesel LGV ,Freight
00AJ,Ealing,15.0,2002,Diesel LGV ,Freight
00AK,Enfield,16.7,2002,Diesel LGV ,Freight
00AL,Greenwich,13.1,2002,Diesel LGV ,Freight
00AM,Hackney,7.9,2002,Diesel LGV ,Freight
00AN,Hammersmith and Fulham,7.2,2002,Diesel LGV ,Freight
00AP,Haringey,10.1,2002,Diesel LGV ,Freight
00AQ,Harrow,8.9,2002,Diesel LGV ,Freight
00AR,Havering,16.9,2002,Diesel LGV ,Freight
00AS,Hillingdon,21.1,2002,Diesel LGV ,Freight
00AT,Hounslow,16.9,2002,Diesel LGV ,Freight
00AU,Islington,7.8,2002,Diesel LGV ,Freight
00AW,Kensington and Chelsea,8.8,2002,Diesel LGV ,Freight
00AX,Kingston upon Thames,8.8,2002,Diesel LGV ,Freight
00AY,Lambeth,11.9,2002,Diesel LGV ,Freight
00AZ,Lewisham,12.7,2002,Diesel LGV ,Freight
00BA,Merton,8.9,2002,Diesel LGV ,Freight
00BB,Newham,14.3,2002,Diesel LGV ,Freight
00BC,Redbridge,17.1,2002,Diesel LGV ,Freight
00BD,Richmond upon Thames,10.5,2002,Diesel LGV ,Freight
00BE,Southwark,12.5,2002,Diesel LGV ,Freight
00BF,Sutton,9.6,2002,Diesel LGV ,Freight
00BG,Tower Hamlets,13.0,2002,Diesel LGV ,Freight
00BH,Waltham Forest,11.3,2002,Diesel LGV ,Freight
00BJ,Wandsworth,13.2,2002,Diesel LGV ,Freight
00BK,Westminster,14.1,2002,Diesel LGV ,Freight
00AA,City of London,0.5,2002,Petrol LGV,Freight
00AB,Barking and Dagenham,1.3,2002,Petrol LGV,Freight
00AC,Barnet,3.5,2002,Petrol LGV,Freight
00AD,Bexley,2.2,2002,Petrol LGV,Freight
00AE,Brent,1.7,2002,Petrol LGV,Freight
00AF,Bromley,3.0,2002,Petrol LGV,Freight
00AG,Camden,1.5,2002,Petrol LGV,Freight
00AH,Croydon,2.7,2002,Petrol LGV,Freight
00AJ,Ealing,2.4,2002,Petrol LGV,Freight
00AK,Enfield,2.7,2002,Petrol LGV,Freight
00AL,Greenwich,2.1,2002,Petrol LGV,Freight
00AM,Hackney,1.3,2002,Petrol LGV,Freight
00AN,Hammersmith and Fulham,1.2,2002,Petrol LGV,Freight
00AP,Haringey,1.6,2002,Petrol LGV,Freight
00AQ,Harrow,1.4,2002,Petrol LGV,Freight
00AR,Havering,2.7,2002,Petrol LGV,Freight
00AS,Hillingdon,3.3,2002,Petrol LGV,Freight
00AT,Hounslow,2.7,2002,Petrol LGV,Freight
00AU,Islington,1.3,2002,Petrol LGV,Freight
00AW,Kensington and Chelsea,1.4,2002,Petrol LGV,Freight
00AX,Kingston upon Thames,1.4,2002,Petrol LGV,Freight
00AY,Lambeth,1.9,2002,Petrol LGV,Freight
00AZ,Lewisham,2.1,2002,Petrol LGV,Freight
00BA,Merton,1.4,2002,Petrol LGV,Freight
00BB,Newham,2.3,2002,Petrol LGV,Freight
00BC,Redbridge,2.7,2002,Petrol LGV,Freight
00BD,Richmond upon Thames,1.7,2002,Petrol LGV,Freight
00BE,Southwark,2.0,2002,Petrol LGV,Freight
00BF,Sutton,1.5,2002,Petrol LGV,Freight
00BG,Tower Hamlets,2.1,2002,Petrol LGV,Freight
00BH,Waltham Forest,1.8,2002,Petrol LGV,Freight
00BJ,Wandsworth,2.1,2002,Petrol LGV,Freight
00BK,Westminster,2.3,2002,Petrol LGV,Freight
00AA,City of London,2.1,2003,Buses,Personal
00AB,Barking and Dagenham,2.9,2003,Buses,Personal
00AC,Barnet,9.7,2003,Buses,Personal
00AD,Bexley,6.3,2003,Buses,Personal
00AE,Brent,5.4,2003,Buses,Personal
00AF,Bromley,9.6,2003,Buses,Personal
00AG,Camden,8.4,2003,Buses,Personal
00AH,Croydon,8.8,2003,Buses,Personal
00AJ,Ealing,6.6,2003,Buses,Personal
00AK,Enfield,7.1,2003,Buses,Personal
00AL,Greenwich,6.5,2003,Buses,Personal
00AM,Hackney,6.7,2003,Buses,Personal
00AN,Hammersmith and Fulham,5.4,2003,Buses,Personal
00AP,Haringey,8.3,2003,Buses,Personal
00AQ,Harrow,4.3,2003,Buses,Personal
00AR,Havering,6.7,2003,Buses,Personal
00AS,Hillingdon,8.0,2003,Buses,Personal
00AT,Hounslow,8.1,2003,Buses,Personal
00AU,Islington,6.4,2003,Buses,Personal
00AW,Kensington and Chelsea,6.5,2003,Buses,Personal
00AX,Kingston upon Thames,4.0,2003,Buses,Personal
00AY,Lambeth,11.8,2003,Buses,Personal
00AZ,Lewisham,10.2,2003,Buses,Personal
00BA,Merton,4.5,2003,Buses,Personal
00BB,Newham,9.3,2003,Buses,Personal
00BC,Redbridge,6.7,2003,Buses,Personal
00BD,Richmond upon Thames,6.3,2003,Buses,Personal
00BE,Southwark,11.8,2003,Buses,Personal
00BF,Sutton,4.4,2003,Buses,Personal
00BG,Tower Hamlets,7.6,2003,Buses,Personal
00BH,Waltham Forest,4.7,2003,Buses,Personal
00BJ,Wandsworth,9.7,2003,Buses,Personal
00BK,Westminster,15.3,2003,Buses,Personal
00AA,City of London,2.3,2003,Diesel Cars,Personal
00AB,Barking and Dagenham,6.4,2003,Diesel Cars,Personal
00AC,Barnet,18.8,2003,Diesel Cars,Personal
00AD,Bexley,11.5,2003,Diesel Cars,Personal
00AE,Brent,9.4,2003,Diesel Cars,Personal
00AF,Bromley,16.4,2003,Diesel Cars,Personal
00AG,Camden,7.6,2003,Diesel Cars,Personal
00AH,Croydon,14.5,2003,Diesel Cars,Personal
00AJ,Ealing,12.9,2003,Diesel Cars,Personal
00AK,Enfield,14.0,2003,Diesel Cars,Personal
00AL,Greenwich,10.2,2003,Diesel Cars,Personal
00AM,Hackney,6.2,2003,Diesel Cars,Personal
00AN,Hammersmith and Fulham,6.0,2003,Diesel Cars,Personal
00AP,Haringey,8.3,2003,Diesel Cars,Personal
00AQ,Harrow,8.3,2003,Diesel Cars,Personal
00AR,Havering,13.4,2003,Diesel Cars,Personal
00AS,Hillingdon,19.5,2003,Diesel Cars,Personal
00AT,Hounslow,16.1,2003,Diesel Cars,Personal
00AU,Islington,5.9,2003,Diesel Cars,Personal
00AW,Kensington and Chelsea,7.1,2003,Diesel Cars,Personal
00AX,Kingston upon Thames,8.7,2003,Diesel Cars,Personal
00AY,Lambeth,9.3,2003,Diesel Cars,Personal
00AZ,Lewisham,10.4,2003,Diesel Cars,Personal
00BA,Merton,7.5,2003,Diesel Cars,Personal
00BB,Newham,11.7,2003,Diesel Cars,Personal
00BC,Redbridge,13.6,2003,Diesel Cars,Personal
00BD,Richmond upon Thames,9.7,2003,Diesel Cars,Personal
00BE,Southwark,9.7,2003,Diesel Cars,Personal
00BF,Sutton,8.1,2003,Diesel Cars,Personal
00BG,Tower Hamlets,9.3,2003,Diesel Cars,Personal
00BH,Waltham Forest,8.7,2003,Diesel Cars,Personal
00BJ,Wandsworth,10.7,2003,Diesel Cars,Personal
00BK,Westminster,11.9,2003,Diesel Cars,Personal
00AA,City of London,12.2,2003,Petrol Cars,Personal
00AB,Barking and Dagenham,33.6,2003,Petrol Cars,Personal
00AC,Barnet,97.6,2003,Petrol Cars,Personal
00AD,Bexley,59.8,2003,Petrol Cars,Personal
00AE,Brent,48.7,2003,Petrol Cars,Personal
00AF,Bromley,85.2,2003,Petrol Cars,Personal
00AG,Camden,40.5,2003,Petrol Cars,Personal
00AH,Croydon,75.5,2003,Petrol Cars,Personal
00AJ,Ealing,67.3,2003,Petrol Cars,Personal
00AK,Enfield,73.0,2003,Petrol Cars,Personal
00AL,Greenwich,53.1,2003,Petrol Cars,Personal
00AM,Hackney,32.9,2003,Petrol Cars,Personal
00AN,Hammersmith and Fulham,31.7,2003,Petrol Cars,Personal
00AP,Haringey,44.0,2003,Petrol Cars,Personal
00AQ,Harrow,43.2,2003,Petrol Cars,Personal
00AR,Havering,70.2,2003,Petrol Cars,Personal
00AS,Hillingdon,101.7,2003,Petrol Cars,Personal
00AT,Hounslow,83.7,2003,Petrol Cars,Personal
00AU,Islington,31.2,2003,Petrol Cars,Personal
00AW,Kensington and Chelsea,37.7,2003,Petrol Cars,Personal
00AX,Kingston upon Thames,45.6,2003,Petrol Cars,Personal
00AY,Lambeth,49.2,2003,Petrol Cars,Personal
00AZ,Lewisham,55.1,2003,Petrol Cars,Personal
00BA,Merton,38.8,2003,Petrol Cars,Personal
00BB,Newham,61.8,2003,Petrol Cars,Personal
00BC,Redbridge,71.0,2003,Petrol Cars,Personal
00BD,Richmond upon Thames,50.6,2003,Petrol Cars,Personal
00BE,Southwark,51.3,2003,Petrol Cars,Personal
00BF,Sutton,42.3,2003,Petrol Cars,Personal
00BG,Tower Hamlets,49.1,2003,Petrol Cars,Personal
00BH,Waltham Forest,45.5,2003,Petrol Cars,Personal
00BJ,Wandsworth,56.6,2003,Petrol Cars,Personal
00BK,Westminster,63.9,2003,Petrol Cars,Personal
00AA,City of London,0.7,2003,Motor-cycles,Personal
00AB,Barking and Dagenham,0.5,2003,Motor-cycles,Personal
00AC,Barnet,1.3,2003,Motor-cycles,Personal
00AD,Bexley,0.9,2003,Motor-cycles,Personal
00AE,Brent,0.7,2003,Motor-cycles,Personal
00AF,Bromley,1.3,2003,Motor-cycles,Personal
00AG,Camden,1.5,2003,Motor-cycles,Personal
00AH,Croydon,1.2,2003,Motor-cycles,Personal
00AJ,Ealing,1,2003,Motor-cycles,Personal
00AK,Enfield,0.8,2003,Motor-cycles,Personal
00AL,Greenwich,1,2003,Motor-cycles,Personal
00AM,Hackney,0.7,2003,Motor-cycles,Personal
00AN,Hammersmith and Fulham,0.9,2003,Motor-cycles,Personal
00AP,Haringey,0.9,2003,Motor-cycles,Personal
00AQ,Harrow,0.5,2003,Motor-cycles,Personal
00AR,Havering,1,2003,Motor-cycles,Personal
00AS,Hillingdon,1.2,2003,Motor-cycles,Personal
00AT,Hounslow,1.2,2003,Motor-cycles,Personal
00AU,Islington,1.1,2003,Motor-cycles,Personal
00AW,Kensington and Chelsea,1.2,2003,Motor-cycles,Personal
00AX,Kingston upon Thames,0.7,2003,Motor-cycles,Personal
00AY,Lambeth,1.5,2003,Motor-cycles,Personal
00AZ,Lewisham,1.1,2003,Motor-cycles,Personal
00BA,Merton,0.7,2003,Motor-cycles,Personal
00BB,Newham,1.1,2003,Motor-cycles,Personal
00BC,Redbridge,0.9,2003,Motor-cycles,Personal
00BD,Richmond upon Thames,0.9,2003,Motor-cycles,Personal
00BE,Southwark,1.6,2003,Motor-cycles,Personal
00BF,Sutton,0.7,2003,Motor-cycles,Personal
00BG,Tower Hamlets,1.8,2003,Motor-cycles,Personal
00BH,Waltham Forest,0.7,2003,Motor-cycles,Personal
00BJ,Wandsworth,1.6,2003,Motor-cycles,Personal
00BK,Westminster,3,2003,Motor-cycles,Personal
00AA,City of London,2.2,2003,HGV,Freight
00AB,Barking and Dagenham,9.7,2003,HGV,Freight
00AC,Barnet,16.0,2003,HGV,Freight
00AD,Bexley,11.7,2003,HGV,Freight
00AE,Brent,8.3,2003,HGV,Freight
00AF,Bromley,11.5,2003,HGV,Freight
00AG,Camden,6.5,2003,HGV,Freight
00AH,Croydon,12.3,2003,HGV,Freight
00AJ,Ealing,12.5,2003,HGV,Freight
00AK,Enfield,20.8,2003,HGV,Freight
00AL,Greenwich,12.1,2003,HGV,Freight
00AM,Hackney,5.2,2003,HGV,Freight
00AN,Hammersmith and Fulham,4.6,2003,HGV,Freight
00AP,Haringey,6.4,2003,HGV,Freight
00AQ,Harrow,5.2,2003,HGV,Freight
00AR,Havering,26.8,2003,HGV,Freight
00AS,Hillingdon,26.7,2003,HGV,Freight
00AT,Hounslow,15.5,2003,HGV,Freight
00AU,Islington,5.2,2003,HGV,Freight
00AW,Kensington and Chelsea,6.0,2003,HGV,Freight
00AX,Kingston upon Thames,6.5,2003,HGV,Freight
00AY,Lambeth,7.8,2003,HGV,Freight
00AZ,Lewisham,8.5,2003,HGV,Freight
00BA,Merton,6.7,2003,HGV,Freight
00BB,Newham,14.2,2003,HGV,Freight
00BC,Redbridge,14.8,2003,HGV,Freight
00BD,Richmond upon Thames,7.0,2003,HGV,Freight
00BE,Southwark,8.1,2003,HGV,Freight
00BF,Sutton,6.2,2003,HGV,Freight
00BG,Tower Hamlets,11.2,2003,HGV,Freight
00BH,Waltham Forest,9.7,2003,HGV,Freight
00BJ,Wandsworth,9.2,2003,HGV,Freight
00BK,Westminster,10.8,2003,HGV,Freight
00AA,City of London,3.0,2003,Diesel LGV,Freight
00AB,Barking and Dagenham,8.2,2003,Diesel LGV,Freight
00AC,Barnet,23.1,2003,Diesel LGV,Freight
00AD,Bexley,15.1,2003,Diesel LGV,Freight
00AE,Brent,11.8,2003,Diesel LGV,Freight
00AF,Bromley,20.4,2003,Diesel LGV,Freight
00AG,Camden,10.0,2003,Diesel LGV,Freight
00AH,Croydon,18.3,2003,Diesel LGV,Freight
00AJ,Ealing,16.3,2003,Diesel LGV,Freight
00AK,Enfield,18.3,2003,Diesel LGV,Freight
00AL,Greenwich,13.9,2003,Diesel LGV,Freight
00AM,Hackney,8.2,2003,Diesel LGV,Freight
00AN,Hammersmith and Fulham,7.6,2003,Diesel LGV,Freight
00AP,Haringey,10.6,2003,Diesel LGV,Freight
00AQ,Harrow,9.4,2003,Diesel LGV,Freight
00AR,Havering,17.3,2003,Diesel LGV,Freight
00AS,Hillingdon,22.1,2003,Diesel LGV,Freight
00AT,Hounslow,17.7,2003,Diesel LGV,Freight
00AU,Islington,8.1,2003,Diesel LGV,Freight
00AW,Kensington and Chelsea,9.6,2003,Diesel LGV,Freight
00AX,Kingston upon Thames,9.6,2003,Diesel LGV,Freight
00AY,Lambeth,12.5,2003,Diesel LGV,Freight
00AZ,Lewisham,13.1,2003,Diesel LGV,Freight
00BA,Merton,9.4,2003,Diesel LGV,Freight
00BB,Newham,15.1,2003,Diesel LGV,Freight
00BC,Redbridge,17.6,2003,Diesel LGV,Freight
00BD,Richmond upon Thames,11.1,2003,Diesel LGV,Freight
00BE,Southwark,13.4,2003,Diesel LGV,Freight
00BF,Sutton,9.9,2003,Diesel LGV,Freight
00BG,Tower Hamlets,13.6,2003,Diesel LGV,Freight
00BH,Waltham Forest,12.4,2003,Diesel LGV,Freight
00BJ,Wandsworth,13.5,2003,Diesel LGV,Freight
00BK,Westminster,15.6,2003,Diesel LGV,Freight
00AA,City of London,0.4,2003,Petrol LGV,Freight
00AB,Barking and Dagenham,1.1,2003,Petrol LGV,Freight
00AC,Barnet,3.0,2003,Petrol LGV,Freight
00AD,Bexley,1.9,2003,Petrol LGV,Freight
00AE,Brent,1.5,2003,Petrol LGV,Freight
00AF,Bromley,2.6,2003,Petrol LGV,Freight
00AG,Camden,1.3,2003,Petrol LGV,Freight
00AH,Croydon,2.4,2003,Petrol LGV,Freight
00AJ,Ealing,2.1,2003,Petrol LGV,Freight
00AK,Enfield,2.4,2003,Petrol LGV,Freight
00AL,Greenwich,1.8,2003,Petrol LGV,Freight
00AM,Hackney,1.1,2003,Petrol LGV,Freight
00AN,Hammersmith and Fulham,1.0,2003,Petrol LGV,Freight
00AP,Haringey,1.4,2003,Petrol LGV,Freight
00AQ,Harrow,1.2,2003,Petrol LGV,Freight
00AR,Havering,2.2,2003,Petrol LGV,Freight
00AS,Hillingdon,2.8,2003,Petrol LGV,Freight
00AT,Hounslow,2.3,2003,Petrol LGV,Freight
00AU,Islington,1.1,2003,Petrol LGV,Freight
00AW,Kensington and Chelsea,1.2,2003,Petrol LGV,Freight
00AX,Kingston upon Thames,1.2,2003,Petrol LGV,Freight
00AY,Lambeth,1.6,2003,Petrol LGV,Freight
00AZ,Lewisham,1.7,2003,Petrol LGV,Freight
00BA,Merton,1.2,2003,Petrol LGV,Freight
00BB,Newham,2.0,2003,Petrol LGV,Freight
00BC,Redbridge,2.3,2003,Petrol LGV,Freight
00BD,Richmond upon Thames,1.4,2003,Petrol LGV,Freight
00BE,Southwark,1.8,2003,Petrol LGV,Freight
00BF,Sutton,1.3,2003,Petrol LGV,Freight
00BG,Tower Hamlets,1.8,2003,Petrol LGV,Freight
00BH,Waltham Forest,1.6,2003,Petrol LGV,Freight
00BJ,Wandsworth,1.8,2003,Petrol LGV,Freight
00BK,Westminster,2.1,2003,Petrol LGV,Freight
00AA,City of London,1.6,2004,Buses,Personal
00AB,Barking and Dagenham,3.3,2004,Buses,Personal
00AC,Barnet,9.7,2004,Buses,Personal
00AD,Bexley,6.4,2004,Buses,Personal
00AE,Brent,5.7,2004,Buses,Personal
00AF,Bromley,10.3,2004,Buses,Personal
00AG,Camden,7.9,2004,Buses,Personal
00AH,Croydon,9.6,2004,Buses,Personal
00AJ,Ealing,6.8,2004,Buses,Personal
00AK,Enfield,7.3,2004,Buses,Personal
00AL,Greenwich,6.7,2004,Buses,Personal
00AM,Hackney,7.5,2004,Buses,Personal
00AN,Hammersmith and Fulham,6.0,2004,Buses,Personal
00AP,Haringey,8.4,2004,Buses,Personal
00AQ,Harrow,4.6,2004,Buses,Personal
00AR,Havering,6.6,2004,Buses,Personal
00AS,Hillingdon,7.9,2004,Buses,Personal
00AT,Hounslow,8.5,2004,Buses,Personal
00AU,Islington,6.4,2004,Buses,Personal
00AW,Kensington and Chelsea,6.7,2004,Buses,Personal
00AX,Kingston upon Thames,4.1,2004,Buses,Personal
00AY,Lambeth,12.6,2004,Buses,Personal
00AZ,Lewisham,10.6,2004,Buses,Personal
00BA,Merton,4.9,2004,Buses,Personal
00BB,Newham,8.8,2004,Buses,Personal
00BC,Redbridge,6.7,2004,Buses,Personal
00BD,Richmond upon Thames,6.6,2004,Buses,Personal
00BE,Southwark,12.3,2004,Buses,Personal
00BF,Sutton,4.6,2004,Buses,Personal
00BG,Tower Hamlets,7.3,2004,Buses,Personal
00BH,Waltham Forest,5.0,2004,Buses,Personal
00BJ,Wandsworth,10.1,2004,Buses,Personal
00BK,Westminster,16.2,2004,Buses,Personal
00AA,City of London,1.6,2004,Diesel Cars,Personal
00AB,Barking and Dagenham,7.0,2004,Diesel Cars,Personal
00AC,Barnet,19.8,2004,Diesel Cars,Personal
00AD,Bexley,12.1,2004,Diesel Cars,Personal
