,New code,Area name,Year,Population,Population density,Percent born abroad,Births,Deaths,Std Mortality Rate,Employment Rate,Unemployment Rate,Youth Unemployment Rate,NEET,NEET Rate,DWP Working age client group,DWP Working age client group rates,Employment and Support Allowance Claims,Female JSA Claims,Housing Benefit Claims,Housing Benefit Claims Rate,Incapacity Benefit Claims,Income Support Claims,Income Support Claims Rate,Male JSA Claims,Total JSA Claims,Inner/Outer London,% of economically active with NVQ4+ - working age,% of economically active with NVQ3 only - working age,% of economically active with Trade Apprenticeships - working age,% of economically active with NVQ2 only - working age,% of economically active with NVQ1 only - working age,% of economically active with other qualifications - working age,% of economically active with no qualifications - working age,Gross Annual Pay - Full Time - Total (£),Gross Annual Pay - Full Time - Male (£),Gross Annual Pay - Full Time - Female (£),Median Modelled Household income (£),Mean Modelled Household income (£),Number of active businesses,Two-year business survival rates,Number Employed - Total,Number Employed - Male,Number Employed - Female,Jobs Density,Crime Rates per thousand population,Fires per thousand population,Ambulance incidents per hundred population,Total Carbon Emissions,Household Waste Recycling Rate,Number of Licensed Vehicles,Traffic Flows,% of adults who cycle at least once per month,Road Casualties (Killed or Seriously Injured),Average Public Transport Accessibility Score,% children living in out-of-work households,% of Children in Poverty,Household Estimates,Median House Price (£),Number of properties sold,Tenure: Owned Outright (%),Tenure: Buying with mortgage (%),Tenure: Rented from Local Authority or Housing Association (%),Tenure: Rented from Private landlord (%)
10,E09000011,Greenwich,1999,212168.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,141.354964,,,,,,,,,,,,,,,,,,
11,E09000012,Hackney,1999,199087.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,195.9294178,,,,,,,,,,,,,,,,,,
12,E09000013,Hammersmith and Fulham,1999,160634.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,178.0444987,,,,,,,,,,,,,,,,,,
13,E09000014,Haringey,1999,218559.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,155.9075581,,,,,,,,,,,,,,,,,,
14,E09000015,Harrow,1999,207909.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,80.69395745,,,,,,,,,,,,,,,,,,
15,E09000016,Havering,1999,225712.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,83.23438718,,,,,,,,,,,,,,,,,,
16,E09000017,Hillingdon,1999,245053.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,107.2461876,,,,,,,,,,,,,,,,,,
17,E09000018,Hounslow,1999,214298.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,144.8076977,,,,,,,,,,,,,,,,,,
18,E09000019,Islington,1999,175717.0,,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,,,,,,,,,218.6868658,,,,,,,,,,,,,,,,,,
19,E09000020,Kensington and Chelsea,1999,147678.0,,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,,,,,,,,,208.4196698,,,,,,,,,,,,,,,,,,
20,E09000021,Kingston upon Thames,1999,146003.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,100.3335548,,,,,,,,,,,,,,,,,,
21,E09000022,Lambeth,1999,266817.0,,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,,,,,,,,,195.6846828,,,,,,,,,,,,,,,,,,
22,E09000023,Lewisham,1999,250310.0,,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,,,,,,,,,118.3652271,,,,,,,,,,,,,,,,,,
23,E09000024,Merton,1999,185062.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,90.84523025,,,,,,,,,,,,,,,,,,
24,E09000025,Newham,1999,240517.0,,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,,,,,,,,,159.385823,,,,,,,,,,,,,,,,,,
25,E09000026,Redbridge,1999,238138.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,103.2090637,,,,,,,,,,,,,,,,,,
26,E09000027,Richmond upon Thames,1999,172782.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,89.73156926,,,,,,,,,,,,,,,,,,
27,E09000028,Southwark,1999,247853.0,,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,,,,,,,,,176.4513643,,,,,,,,,,,,,,,,,,
28,E09000029,Sutton,1999,179375.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,80.79721254,,,,,,,,,,,,,,,,,,
29,E09000030,Tower Hamlets,1999,193507.0,,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,,,,,,,,,176.0711499,,,,,,,,,,,,,,,,,,
30,E09000031,Waltham Forest,1999,221057.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,122.2987736,,,,,,,,,,,,,,,,,,
31,E09000032,Wandsworth,1999,264220.0,,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,,,,,,,,,134.4599198,,,,,,,,,,,,,,,,,,
32,E09000033,Westminster,1999,189233.0,,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,,,,,,,,,463.0006394,,,,,,,,,,,,,,,,,,
33,E09000001,City of London,2000,7014.0,,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,
34,E09000002,Barking and Dagenham,2000,163893.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,123.5745273,,,,,,,,,,,,,,,,,,
35,E09000003,Barnet,2000,315784.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,95.67615839,,,,,,,,,,,,,,,,,,
36,E09000004,Bexley,2000,218717.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,96.34367699,,,,,,,,,,,,,,,,,,
37,E09000005,Brent,2000,264945.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,122.7160354,,,,,,,,,,,,,,,,,,
38,E09000006,Bromley,2000,295317.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,88.5218257,,,,,,,,,,,,,,,,,,
39,E09000007,Camden,2000,196174.0,,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,,,,,,,,,238.4515787,,,,,,,,,,,,,,,,,,
40,E09000008,Croydon,2000,334241.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,105.376061,,,,,,,,,,,,,,,,,,
41,E09000009,Ealing,2000,304370.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,126.7273384,,,,,,,,,,,,,,,,,,
42,E09000010,Enfield,2000,275068.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,101.862085,,,,,,,,,,,,,,,,,,
43,E09000011,Greenwich,2000,214438.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,131.3433253,,,,,,,,,,,,,,,,,,
44,E09000012,Hackney,2000,203381.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,188.0313304,,,,,,,,,,,,,,,,,,
45,E09000013,Hammersmith and Fulham,2000,164393.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,171.7591382,,,,,,,,,,,,,,,,,,
46,E09000014,Haringey,2000,219845.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,149.1914758,,,,,,,,,,,,,,,,,,
47,E09000015,Harrow,2000,209114.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,81.44361449,,,,,,,,,,,,,,,,,,
48,E09000016,Havering,2000,225141.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,87.77166309,,,,,,,,,,,,,,,,,,
49,E09000017,Hillingdon,2000,245911.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,108.7344608,,,,,,,,,,,,,,,,,,
50,E09000018,Hounslow,2000,214731.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,135.2110315,,,,,,,,,,,,,,,,,,
51,E09000019,Islington,2000,177852.0,,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,,,,,,,,,202.2355667,,,,,,,,,,,,,,,,,,
52,E09000020,Kensington and Chelsea,2000,154661.0,,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,,,,,,,,,198.5891724,,,,,,,,,,,,,,,,,,
53,E09000021,Kingston upon Thames,2000,147328.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,96.82477194,,,,,,,,,,,,,,,,,,
54,E09000022,Lambeth,2000,270028.0,,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,,,,,,,,,188.6841365,,,,,,,,,,,,,,,,,,
55,E09000023,Lewisham,2000,252106.0,,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,,,,,,,,,110.3266086,,,,,,,,,,,,,,,,,,
56,E09000024,Merton,2000,188196.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,88.0411911,,,,,,,,,,,,,,,,,,
57,E09000025,Newham,2000,245463.0,,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,,,,,,,,,157.9708551,,,,,,,,,,,,,,,,,,
58,E09000026,Redbridge,2000,239868.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,105.1661747,,,,,,,,,,,,,,,,,,
59,E09000027,Richmond upon Thames,2000,172920.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,84.91209808,,,,,,,,,,,,,,,,,,
60,E09000028,Southwark,2000,252726.0,,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,,,,,,,,,160.0428923,,,,,,,,,,,,,,,,,,
61,E09000029,Sutton,2000,180485.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,77.22525418,,,,,,,,,,,,,,,,,,
62,E09000030,Tower Hamlets,2000,197133.0,,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,,,,,,,,,177.9001994,,,,,,,,,,,,,,,,,,
63,E09000031,Waltham Forest,2000,221296.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,116.454884,,,,,,,,,,,,,,,,,,
64,E09000032,Wandsworth,2000,267695.0,,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,,,,,,,,,129.8343264,,,,,,,,,,,,,,,,,,
65,E09000033,Westminster,2000,196478.0,,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,,,,,,,,,424.3681226,,,,,,,,,,,,,,,,,,
66,E09000001,City of London,2001,7359.0,25.3,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,65120.0,42720.0,,,,,,,-,,,,,,,,,,,,,,,,,,
67,E09000002,Barking and Dagenham,2001,165654.0,45.9,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,22930.0,20120.0,,,,,,,123.9813104,,,,,,,,,,,,,,,,,,
68,E09000003,Barnet,2001,319481.0,36.8,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,39190.0,29480.0,,,,,,,101.020092,,,,,,,,,,,,,,,,,,
69,E09000004,Bexley,2001,218757.0,36.1,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,30060.0,25490.0,,,,,,,96.91118456,,,,,,,,,,,,,,,,,,
70,E09000005,Brent,2001,269620.0,62.4,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,29430.0,24280.0,,,,,,,123.4181441,,,,,,,,,,,,,,,,,,
71,E09000006,Bromley,2001,296218.0,19.7,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,37110.0,29550.0,,,,,,,96.67879737,,,,,,,,,,,,,,,,,,
72,E09000007,Camden,2001,202567.0,93.0,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,47940.0,31300.0,,,,,,,262.1503009,,,,,,,,,,,,,,,,,,
73,E09000008,Croydon,2001,335112.0,38.7,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,31740.0,26450.0,,,,,,,111.7536824,,,,,,,,,,,,,,,,,,
74,E09000009,Ealing,2001,307276.0,55.3,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,34000.0,27160.0,,,,,,,127.3382887,,,,,,,,,,,,,,,,,,
75,E09000010,Enfield,2001,277266.0,34.3,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,30750.0,25100.0,,,,,,,106.0389662,,,,,,,,,,,,,,,,,,
76,E09000011,Greenwich,2001,217460.0,45.9,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,28290.0,22960.0,,,,,,,133.3348662,,,,,,,,,,,,,,,,,,
77,E09000012,Hackney,2001,207246.0,108.8,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,26320.0,22000.0,,,,,,,191.8927265,,,,,,,,,,,,,,,,,,
78,E09000013,Hammersmith and Fulham,2001,169374.0,103.3,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,43100.0,30550.0,,,,,,,174.0940168,,,,,,,,,,,,,,,,,,
79,E09000014,Haringey,2001,221251.0,74.8,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,31510.0,24780.0,,,,,,,170.2184397,,,,,,,,,,,,,,,,,,
80,E09000015,Harrow,2001,210044.0,41.6,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,35720.0,28630.0,,,,,,,86.72944716,,,,,,,,,,,,,,,,,,
81,E09000016,Havering,2001,224717.0,20.0,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,30610.0,25710.0,,,,,,,97.31350988,,,,,,,,,,,,,,,,,,
82,E09000017,Hillingdon,2001,245616.0,21.2,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,32140.0,26880.0,,,,,,,118.3717673,,,,,,,,,,,,,,,,,,
83,E09000018,Hounslow,2001,215976.0,38.6,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,33000.0,26550.0,,,,,,,138.5755825,,,,,,,,,,,,,,,,,,
84,E09000019,Islington,2001,179387.0,120.7,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,37560.0,27700.0,,,,,,,209.6640225,,,,,,,,,,,,,,,,,,
85,E09000020,Kensington and Chelsea,2001,162199.0,133.8,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,75210.0,36970.0,,,,,,,182.5227036,,,,,,,,,,,,,,,,,,
86,E09000021,Kingston upon Thames,2001,149045.0,40.0,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,40100.0,31370.0,,,,,,,92.66328961,,,,,,,,,,,,,,,,,,
87,E09000022,Lambeth,2001,273372.0,102.0,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,33280.0,26820.0,,,,,,,208.843627,,,,,,,,,,,,,,,,,,
88,E09000023,Lewisham,2001,254336.0,72.4,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,28930.0,24410.0,,,,,,,114.05385,,,,,,,,,,,,,,,,,,
89,E09000024,Merton,2001,191106.0,50.8,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,39270.0,29330.0,,,,,,,92.86469289,,,,,,,,,,,,,,,,,,
90,E09000025,Newham,2001,249411.0,68.9,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,21270.0,17950.0,,,,,,,162.8476691,,,,,,,,,,,,,,,,,,
91,E09000026,Redbridge,2001,241893.0,42.9,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,32250.0,26600.0,,,,,,,115.7577937,,,,,,,,,,,,,,,,,,
92,E09000027,Richmond upon Thames,2001,174311.0,30.4,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,50450.0,36080.0,,,,,,,92.11696336,,,,,,,,,,,,,,,,,,
93,E09000028,Southwark,2001,256712.0,88.9,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,31770.0,25030.0,,,,,,,178.0477734,,,,,,,,,,,,,,,,,,
94,E09000029,Sutton,2001,181461.0,41.4,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,33220.0,27510.0,,,,,,,84.64077681,,,,,,,,,,,,,,,,,,
95,E09000030,Tower Hamlets,2001,201090.0,101.7,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,29690.0,23040.0,,,,,,,185.3548163,,,,,,,,,,,,,,,,,,
96,E09000031,Waltham Forest,2001,222015.0,57.2,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,26940.0,23000.0,,,,,,,136.297097,,,,,,,,,,,,,,,,,,
97,E09000032,Wandsworth,2001,271742.0,79.3,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,44900.0,32800.0,,,,,,,131.437172,,,,,,,,,,,,,,,,,,
98,E09000033,Westminster,2001,203329.0,94.6,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,55470.0,33190.0,,,,,,,424.2877307,,,,,,,,,,,,,,,,,,
99,E09000001,City of London,2002,7280.0,,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,
100,E09000002,Barking and Dagenham,2002,166357.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,122.5917755,,,,,,,,,,,,,,,,,,
101,E09000003,Barnet,2002,320552.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,107.1214655,,,,,,,,,,,,,,,,,,
102,E09000004,Bexley,2002,219123.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,90.1411536,,,,,,,,,,,,,,,,,,
103,E09000005,Brent,2002,269871.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,124.2704848,,,,,,,,,,,,,,,,,,
104,E09000006,Bromley,2002,296668.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,102.0534739,,,,,,,,,,,,,,,,,,
105,E09000007,Camden,2002,203972.0,,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,,,,,,,,,264.2029298,,,,,,,,,,,,,,,,,,
106,E09000008,Croydon,2002,335415.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,115.134982,,,,,,,,,,,,,,,,,,
107,E09000009,Ealing,2002,309242.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,129.823892,,,,,,,,,,,,,,,,,,
108,E09000010,Enfield,2002,280745.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,107.0081391,,,,,,,,,,,,,,,,,,
109,E09000011,Greenwich,2002,221476.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,140.882082,,,,,,,,,,,,,,,,,,
110,E09000012,Hackney,2002,210961.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,186.13393,,,,,,,,,,,,,,,,,,
111,E09000013,Hammersmith and Fulham,2002,171989.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,174.447203,,,,,,,,,,,,,,,,,,
112,E09000014,Haringey,2002,224474.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,173.8152303,,,,,,,,,,,,,,,,,,
113,E09000015,Harrow,2002,212336.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,92.17937608,,,,,,,,,,,,,,,,,,
114,E09000016,Havering,2002,225054.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,95.69703271,,,,,,,,,,,,,,,,,,
115,E09000017,Hillingdon,2002,247063.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,118.245144,,,,,,,,,,,,,,,,,,
116,E09000018,Hounslow,2002,216888.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,151.4237763,,,,,,,,,,,,,,,,,,
117,E09000019,Islington,2002,180118.0,,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,,,,,,,,,218.884287,,,,,,,,,,,,,,,,,,
118,E09000020,Kensington and Chelsea,2002,163827.0,,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,,,,,,,,,194.8457824,,,,,,,,,,,,,,,,,,
119,E09000021,Kingston upon Thames,2002,149642.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,95.76188503,,,,,,,,,,,,,,,,,,
120,E09000022,Lambeth,2002,273041.0,,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,,,,,,,,,198.461037,,,,,,,,,,,,,,,,,,
121,E09000023,Lewisham,2002,253662.0,,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,,,,,,,,,113.3910479,,,,,,,,,,,,,,,,,,
122,E09000024,Merton,2002,190561.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,93.82822298,,,,,,,,,,,,,,,,,,
123,E09000025,Newham,2002,255282.0,,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,,,,,,,,,161.2217078,,,,,,,,,,,,,,,,,,
124,E09000026,Redbridge,2002,244273.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,117.642965,,,,,,,,,,,,,,,,,,
125,E09000027,Richmond upon Thames,2002,175441.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,95.83848701,,,,,,,,,,,,,,,,,,
126,E09000028,Southwark,2002,256269.0,,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,,,,,,,,,179.3427999,,,,,,,,,,,,,,,,,,
127,E09000029,Sutton,2002,181265.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,82.68005406,,,,,,,,,,,,,,,,,,
128,E09000030,Tower Hamlets,2002,207031.0,,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,,,,,,,,,198.6369191,,,,,,,,,,,,,,,,,,
129,E09000031,Waltham Forest,2002,223776.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,144.1798942,,,,,,,,,,,,,,,,,,
130,E09000032,Wandsworth,2002,274917.0,,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,,,,,,,,,131.6906557,,,,,,,,,,,,,,,,,,
131,E09000033,Westminster,2002,208100.0,,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,,,,,,,,,413.9884671,,,,,,,,,,,,,,,,,,
132,E09000001,City of London,2003,7115.0,,,,,,,,,,,,,,,,,,,,,,Inner,,,,,,,,,,,,,,,,,,,-,,,,8.0,,,,,,,,,,,,,,
133,E09000002,Barking and Dagenham,2003,166210.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,133.2290476,,,,5.0,,,,,,,,,,,,,,
134,E09000003,Barnet,2003,321802.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,112.7649921,,,,16.0,,,,,,,,,,,,,,
135,E09000004,Bexley,2003,220016.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,92.46600247,,,,21.0,,,,,,,,,,,,,,
136,E09000005,Brent,2003,268323.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,133.5591805,,,,10.0,,,,,,,,,,,,,,
137,E09000006,Bromley,2003,297253.0,,,,,,,,,,,,,,,,,,,,,,Outer,,,,,,,,,,,,,,,,,,,104.0124069,,,,20.0,,,,,,,,,,,,,,
