Borough,Callout_type,Date,Number of reported incidents
HARROW,ALL SPECIAL SERVICES,201301,36
HARROW,CARE HOME FIRES,201301,3
HARROW,DELIBERATE FIRES IN RUBBISH,201301,1
HARROW,DELIBERATE OPEN LAND FIRES,201301,0
HARROW,DELIBERATE VEHICLE FIRES,201301,1
HARROW,FALSE ALARMS AFAS DOM,201301,43
HARROW,FALSE ALARMS AFAS NONDOM,201301,26
HARROW,FALSE ALARMS GOOD INTENT,201301,11
HARROW,MALICIOUS FALSE ALARMS,201301,2
HARROW,NONDOMFIRES NONRRO,201301,0
HARROW,NONDOMFIRES RRO,201301,4
HARROW,PRIMARY FIRES,201301,20
HARROW,PRIMARY FIRES IN DWELLINGS,201301,13
HARROW,ROAD TRAFFIC COLLISIONS,201301,9
HARROW,RUBBISH FIRES,201301,5
HARROW,SECONDARY FIRES,201301,6
HARROW,SHUT-IN-LIFT RELEASES,201301,1
HARROW,SPECIAL SERVICE ENTRY & EXIT,201301,7
HAVERING,ACCIDENTAL FIRES IN RUBBISH,201301,4
HAVERING,ACCIDENTAL OPEN LAND FIRES,201301,2
HAVERING,ACCIDENTAL VEHICLE FIRES,201301,6
HAVERING,ALL DELIBERATE FIRES,201301,4
HAVERING,ALL FALSE ALARMS,201301,69
HAVERING,ALL FIRES,201301,24
HAVERING,ALL SPECIAL SERVICES,201301,47
HAVERING,CARE HOME FIRES,201301,1
HAVERING,DELIBERATE FIRES IN RUBBISH,201301,3
HAVERING,DELIBERATE OPEN LAND FIRES,201301,1
HAVERING,DELIBERATE VEHICLE FIRES,201301,0
HAVERING,FALSE ALARMS AFAS DOM,201301,27
HAVERING,FALSE ALARMS AFAS NONDOM,201301,18
HAVERING,FALSE ALARMS GOOD INTENT,201301,24
HAVERING,MALICIOUS FALSE ALARMS,201301,0
HAVERING,NONDOMFIRES NONRRO,201301,0
HAVERING,NONDOMFIRES RRO,201301,4
HAVERING,PRIMARY FIRES,201301,15
HAVERING,PRIMARY FIRES IN DWELLINGS,201301,4
HAVERING,ROAD TRAFFIC COLLISIONS,201301,14
HAVERING,RUBBISH FIRES,201301,7
HAVERING,SECONDARY FIRES,201301,9
HAVERING,SHUT-IN-LIFT RELEASES,201301,4
HAVERING,SPECIAL SERVICE ENTRY & EXIT,201301,2
HILLINGDON,ACCIDENTAL FIRES IN RUBBISH,201301,4
HILLINGDON,ACCIDENTAL OPEN LAND FIRES,201301,2
HILLINGDON,ACCIDENTAL VEHICLE FIRES,201301,11
HILLINGDON,ALL DELIBERATE FIRES,201301,13
HILLINGDON,ALL FALSE ALARMS,201301,153
HILLINGDON,ALL FIRES,201301,48
HILLINGDON,ALL SPECIAL SERVICES,201301,57
HILLINGDON,CARE HOME FIRES,201301,1
HILLINGDON,DELIBERATE FIRES IN RUBBISH,201301,4
HILLINGDON,DELIBERATE OPEN LAND FIRES,201301,2
HILLINGDON,DELIBERATE VEHICLE FIRES,201301,4
HILLINGDON,FALSE ALARMS AFAS DOM,201301,24
HILLINGDON,FALSE ALARMS AFAS NONDOM,201301,85
HILLINGDON,FALSE ALARMS GOOD INTENT,201301,38
HILLINGDON,MALICIOUS FALSE ALARMS,201301,4
HILLINGDON,NONDOMFIRES NONRRO,201301,0
HILLINGDON,NONDOMFIRES RRO,201301,7
HILLINGDON,PRIMARY FIRES,201301,36
HILLINGDON,PRIMARY FIRES IN DWELLINGS,201301,11
HILLINGDON,ROAD TRAFFIC COLLISIONS,201301,14
HILLINGDON,RUBBISH FIRES,201301,8
HILLINGDON,SECONDARY FIRES,201301,12
HILLINGDON,SHUT-IN-LIFT RELEASES,201301,1
HILLINGDON,SPECIAL SERVICE ENTRY & EXIT,201301,7
HOUNSLOW,ACCIDENTAL FIRES IN RUBBISH,201301,2
HOUNSLOW,ACCIDENTAL OPEN LAND FIRES,201301,2
HOUNSLOW,ACCIDENTAL VEHICLE FIRES,201301,2
HOUNSLOW,ALL DELIBERATE FIRES,201301,11
HOUNSLOW,ALL FALSE ALARMS,201301,81
HOUNSLOW,ALL FIRES,201301,34
HOUNSLOW,ALL SPECIAL SERVICES,201301,48
HOUNSLOW,CARE HOME FIRES,201301,2
HOUNSLOW,DELIBERATE FIRES IN RUBBISH,201301,5
HOUNSLOW,DELIBERATE OPEN LAND FIRES,201301,4
HOUNSLOW,DELIBERATE VEHICLE FIRES,201301,1
HOUNSLOW,FALSE ALARMS AFAS DOM,201301,16
HOUNSLOW,FALSE ALARMS AFAS NONDOM,201301,40
HOUNSLOW,FALSE ALARMS GOOD INTENT,201301,22
HOUNSLOW,MALICIOUS FALSE ALARMS,201301,3
HOUNSLOW,NONDOMFIRES NONRRO,201301,0
HOUNSLOW,NONDOMFIRES RRO,201301,2
HOUNSLOW,PRIMARY FIRES,201301,19
HOUNSLOW,PRIMARY FIRES IN DWELLINGS,201301,14
HOUNSLOW,ROAD TRAFFIC COLLISIONS,201301,6
HOUNSLOW,RUBBISH FIRES,201301,7
HOUNSLOW,SECONDARY FIRES,201301,15
HOUNSLOW,SHUT-IN-LIFT RELEASES,201301,6
HOUNSLOW,SPECIAL SERVICE ENTRY & EXIT,201301,12
ISLINGTON,ACCIDENTAL FIRES IN RUBBISH,201301,11
ISLINGTON,ACCIDENTAL OPEN LAND FIRES,201301,2
ISLINGTON,ACCIDENTAL VEHICLE FIRES,201301,1
ISLINGTON,ALL DELIBERATE FIRES,201301,5
ISLINGTON,ALL FALSE ALARMS,201301,137
ISLINGTON,ALL FIRES,201301,41
ISLINGTON,ALL SPECIAL SERVICES,201301,127
ISLINGTON,CARE HOME FIRES,201301,0
ISLINGTON,DELIBERATE FIRES IN RUBBISH,201301,2
ISLINGTON,DELIBERATE OPEN LAND FIRES,201301,0
ISLINGTON,DELIBERATE VEHICLE FIRES,201301,1
ISLINGTON,FALSE ALARMS AFAS DOM,201301,34
ISLINGTON,FALSE ALARMS AFAS NONDOM,201301,74
ISLINGTON,FALSE ALARMS GOOD INTENT,201301,27
ISLINGTON,MALICIOUS FALSE ALARMS,201301,2
ISLINGTON,NONDOMFIRES NONRRO,201301,0
ISLINGTON,NONDOMFIRES RRO,201301,7
ISLINGTON,PRIMARY FIRES,201301,26
ISLINGTON,PRIMARY FIRES IN DWELLINGS,201301,16
ISLINGTON,ROAD TRAFFIC COLLISIONS,201301,3
